,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1264.2214,1000.6949,9,1.83
1,Pakistan,S8_G2,8,Super 8 stage,975.3923,827.0845,7,1.3242
2,Ireland,A,4,Group stage,522.0528,489.8153,4,0.5037
3,Canada,A,0,Group stage,389.9283,702.2033,4,-4.8793
4,United States of America,A,2,Group stage,442.1635,549.1526,4,-1.6717
5,England,S8_G2,12,Finalist,1286.0008,1107.0221,9,1.2429
6,Australia,S8_G1,10,Super 8 stage,993.9831,812.7343,7,1.6183
7,Namibia,B,2,Group stage,451.8255,548.5231,4,-1.5109
8,Scotland,B,4,Group stage,478.1951,572.0683,4,-1.4668
9,Oman,B,0,Group stage,455.9804,580.9732,4,-1.953
10,New Zealand,S8_G1,12,Semifinalist,1170.6816,895.6198,8,2.1489
11,West Indies,S8_G2,10,Semifinalist,1231.3186,987.2809,8,1.9065
12,Afghanistan,C,4,Group stage,572.1319,617.7492,4,-0.7128
13,Uganda,C,0,Group stage,457.9631,761.8244,4,-4.7478
14,Papua New Guinea,C,2,Group stage,508.7119,662.4812,4,-2.4026
15,South Africa,S8_G2,8,Super 8 stage,954.8954,881.8856,7,0.6519
16,Sri Lanka,D,4,Group stage,531.7519,484.3626,4,0.7405
17,Bangladesh,S8_G1,6,Super 8 stage,853.8226,841.2647,7,0.1121
18,Netherlands,D,2,Group stage,503.7053,531.9547,4,-0.4414
19,Nepal,D,0,Group stage,427.0956,617.1265,4,-2.9692
