,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1269.2263,1005.1465,9,1.8339
1,Pakistan,S8_G2,8,Super 8 stage,950.9075,827.8453,7,1.0988
2,Ireland,A,4,Group stage,507.0144,479.7964,4,0.4253
3,Canada,A,0,Group stage,374.9778,655.915,4,-4.3896
4,United States of America,A,2,Group stage,445.1589,551.7253,4,-1.6651
5,England,S8_G2,14,Finalist,1265.7704,1087.2091,9,1.24
6,Australia,S8_G1,8,Super 8 stage,960.614,813.684,7,1.3119
7,Namibia,B,4,Group stage,472.4612,536.5726,4,-1.0017
8,Scotland,B,2,Group stage,465.7941,550.1841,4,-1.3186
9,Oman,B,0,Group stage,438.7184,579.8636,4,-2.2054
10,New Zealand,S8_G1,12,Semifinalist,1176.4883,906.9292,8,2.1059
11,West Indies,S8_G2,10,Semifinalist,1215.1887,984.2072,8,1.8045
12,Afghanistan,C,4,Group stage,595.4321,619.6746,4,-0.3788
13,Uganda,C,0,Group stage,453.0445,756.3573,4,-4.7393
14,Papua New Guinea,C,2,Group stage,506.3019,659.3923,4,-2.392
15,South Africa,S8_G2,8,Super 8 stage,950.1231,875.4186,7,0.667
16,Sri Lanka,D,4,Group stage,520.559,477.5553,4,0.6719
17,Bangladesh,S8_G1,6,Super 8 stage,857.6612,835.8035,7,0.1952
18,Netherlands,D,2,Group stage,501.06,517.4815,4,-0.2566
19,Nepal,D,0,Group stage,401.7099,607.4501,4,-3.2147
