,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Semifinalist,1140.476,898.9482,8,1.8869
1,Pakistan,S8_G2,6,Super 8 stage,959.1277,825.805,7,1.1904
2,Ireland,A,4,Group stage,529.3874,478.4519,4,0.7959
3,Canada,A,0,Group stage,398.4696,662.7507,4,-4.1294
4,United States of America,A,2,Group stage,441.9756,584.7387,4,-2.2307
5,England,S8_G2,12,Champion,1284.0287,1105.9945,9,1.2363
6,Australia,S8_G1,10,Super 8 stage,982.9232,809.2873,7,1.5503
7,Namibia,B,4,Group stage,464.033,539.3522,4,-1.1769
8,Scotland,B,2,Group stage,471.5947,551.2345,4,-1.2444
9,Oman,B,0,Group stage,423.1217,580.9129,4,-2.4655
10,New Zealand,S8_G1,10,Semifinalist,1159.3305,904.4892,8,1.9909
11,West Indies,S8_G2,12,Finalist,1381.1921,1116.5062,9,1.8381
12,Afghanistan,C,4,Group stage,583.5615,604.9275,4,-0.3338
13,Uganda,C,0,Group stage,465.0932,773.3334,4,-4.8163
14,Papua New Guinea,C,2,Group stage,492.5301,653.9385,4,-2.522
15,South Africa,S8_G2,10,Super 8 stage,949.4308,869.4154,7,0.7144
16,Sri Lanka,S8_G1,6,Super 8 stage,877.7452,867.4921,7,0.0915
17,Bangladesh,D,4,Group stage,504.9465,455.4391,4,0.7736
18,Netherlands,D,2,Group stage,499.9526,516.4926,4,-0.2584
19,Nepal,D,0,Group stage,424.4183,633.8285,4,-3.272
