,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1270.8135,1011.2581,9,1.8025
1,Pakistan,S8_G2,6,Super 8 stage,961.0481,827.3854,7,1.1934
2,Ireland,A,4,Group stage,529.5373,490.3834,4,0.6118
3,Canada,A,0,Group stage,393.8393,702.7097,4,-4.8261
4,United States of America,A,2,Group stage,456.5944,566.5091,4,-1.7174
5,England,S8_G2,12,Semifinalist,1132.9614,954.1209,8,1.3972
6,Australia,S8_G1,12,Finalist,1251.7222,1073.1842,9,1.2398
7,Namibia,B,2,Group stage,448.0263,534.7388,4,-1.3549
8,Scotland,B,4,Group stage,461.6641,535.5092,4,-1.1538
9,Oman,B,0,Group stage,434.7539,586.4469,4,-2.3702
10,New Zealand,S8_G1,8,Super 8 stage,1038.8354,781.6069,7,2.2967
11,West Indies,S8_G2,14,Semifinalist,1226.4923,991.7933,8,1.8336
12,Afghanistan,C,4,Group stage,581.266,602.5503,4,-0.3326
13,Uganda,C,0,Group stage,426.4395,725.2982,4,-4.6697
14,Papua New Guinea,C,2,Group stage,498.9396,645.0753,4,-2.2834
15,South Africa,S8_G2,10,Super 8 stage,968.4664,854.8047,7,1.0148
16,Sri Lanka,S8_G1,6,Super 8 stage,874.1374,890.3333,7,-0.1446
17,Bangladesh,D,4,Group stage,502.624,451.212,4,0.8033
18,Netherlands,D,2,Group stage,496.1571,528.2071,4,-0.5008
19,Nepal,D,0,Group stage,421.4297,622.6212,4,-3.1436
