,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1275.4088,996.1767,9,1.9391
1,Pakistan,S8_G2,8,Super 8 stage,957.1094,816.4637,7,1.2558
2,Ireland,A,4,Group stage,521.4421,486.1416,4,0.5516
3,Canada,A,0,Group stage,380.855,674.5715,4,-4.5893
4,United States of America,A,2,Group stage,450.1301,568.882,4,-1.8555
5,England,S8_G2,12,Finalist,1263.0489,1086.5757,9,1.2255
6,Australia,S8_G1,12,Semifinalist,1103.2099,959.418,8,1.1234
7,Namibia,B,2,Group stage,450.5974,531.7019,4,-1.2673
8,Scotland,B,4,Group stage,465.4986,533.5944,4,-1.064
9,Oman,B,0,Group stage,433.911,579.5844,4,-2.2761
10,New Zealand,S8_G1,10,Super 8 stage,1065.0447,786.7252,7,2.485
11,West Indies,S8_G2,10,Semifinalist,1219.4015,976.4718,8,1.8979
12,Afghanistan,C,4,Group stage,577.8808,586.713,4,-0.138
13,Uganda,C,0,Group stage,432.6122,773.5349,4,-5.3269
14,Papua New Guinea,C,2,Group stage,508.7577,675.8479,4,-2.6108
15,South Africa,S8_G2,8,Super 8 stage,970.8176,870.5711,7,0.8951
16,Sri Lanka,D,4,Group stage,530.965,465.3639,4,1.025
17,Bangladesh,S8_G1,6,Super 8 stage,868.3741,852.3821,7,0.1428
18,Netherlands,D,2,Group stage,487.3182,534.7159,4,-0.7406
19,Nepal,D,0,Group stage,422.0184,628.9656,4,-3.2335
