,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1259.6963,1002.0547,9,1.7892
1,Pakistan,S8_G2,6,Super 8 stage,950.4326,827.2201,7,1.1001
2,Ireland,A,4,Group stage,544.9518,482.5212,4,0.9755
3,Canada,A,0,Group stage,389.8435,685.7037,4,-4.6228
4,United States of America,A,2,Group stage,448.014,577.4394,4,-2.0223
5,England,S8_G2,12,Finalist,1279.1268,1098.1744,9,1.2566
6,Australia,S8_G1,12,Semifinalist,1136.1662,954.2776,8,1.421
7,Namibia,B,2,Group stage,454.4217,558.4416,4,-1.6253
8,Scotland,B,4,Group stage,474.3226,530.9785,4,-0.8852
9,Oman,B,0,Group stage,447.2158,602.4547,4,-2.4256
10,New Zealand,S8_G1,10,Super 8 stage,1057.6943,782.0888,7,2.4608
11,West Indies,S8_G2,10,Semifinalist,1241.1675,996.7139,8,1.9098
12,Afghanistan,C,4,Group stage,542.8777,614.0837,4,-1.1126
13,Uganda,C,0,Group stage,463.1219,747.5665,4,-4.4444
14,Papua New Guinea,C,2,Group stage,491.6571,651.5061,4,-2.4976
15,South Africa,S8_G2,10,Super 8 stage,958.3107,874.8723,7,0.745
16,Sri Lanka,D,4,Group stage,521.4691,481.1862,4,0.6294
17,Bangladesh,S8_G1,6,Super 8 stage,849.8519,837.9482,7,0.1063
18,Netherlands,D,2,Group stage,487.5602,534.6588,4,-0.7359
19,Nepal,D,0,Group stage,447.0397,605.0511,4,-2.4689
