,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1246.1037,998.2704,9,1.7211
1,Pakistan,S8_G2,8,Super 8 stage,946.2086,814.4537,7,1.1764
2,Ireland,A,4,Group stage,531.4332,480.261,4,0.7996
3,Canada,A,0,Group stage,377.108,673.9828,4,-4.6387
4,United States of America,A,2,Group stage,450.7686,551.126,4,-1.5681
5,England,S8_G2,14,Semifinalist,1124.2167,957.0777,8,1.3058
6,Australia,S8_G1,10,Super 8 stage,982.3756,815.4855,7,1.4901
7,Namibia,B,2,Group stage,465.7881,552.7855,4,-1.3593
8,Scotland,B,4,Group stage,477.8644,531.5751,4,-0.8392
9,Oman,B,0,Group stage,421.8043,585.6681,4,-2.5604
10,New Zealand,S8_G1,12,Finalist,1285.9405,1041.9221,9,1.6946
11,West Indies,S8_G2,10,Semifinalist,1207.0375,974.7465,8,1.8148
12,Afghanistan,C,4,Group stage,573.8572,581.4428,4,-0.1185
13,Uganda,C,0,Group stage,416.4281,742.1187,4,-5.0889
14,Papua New Guinea,C,2,Group stage,506.6236,635.7476,4,-2.0176
15,South Africa,S8_G2,8,Super 8 stage,961.3889,866.078,7,0.851
16,Sri Lanka,D,4,Group stage,527.001,485.5862,4,0.6471
17,Bangladesh,S8_G1,6,Super 8 stage,865.17,833.8781,7,0.2794
18,Netherlands,D,2,Group stage,491.0735,560.1955,4,-1.08
19,Nepal,D,0,Group stage,440.284,616.0741,4,-2.7467
