,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1265.0781,1012.4796,9,1.7542
1,Pakistan,S8_G2,8,Super 8 stage,969.4112,808.7136,7,1.4348
2,Ireland,A,4,Group stage,535.7701,482.5965,4,0.8308
3,Canada,A,0,Group stage,380.8658,676.1099,4,-4.6132
4,United States of America,A,2,Group stage,416.1736,560.112,4,-2.249
5,England,S8_G2,12,Semifinalist,1132.2646,978.979,8,1.1975
6,Australia,S8_G1,12,Finalist,1244.5568,1080.9282,9,1.1363
7,Namibia,B,2,Group stage,468.6792,524.0115,4,-0.8646
8,Scotland,B,4,Group stage,481.5753,537.1996,4,-0.8691
9,Oman,B,0,Group stage,433.251,599.8182,4,-2.6026
10,New Zealand,S8_G1,10,Super 8 stage,1061.4837,782.8672,7,2.4876
11,West Indies,S8_G2,10,Semifinalist,1234.3777,985.5891,8,1.9437
12,Afghanistan,C,4,Group stage,577.6728,614.9139,4,-0.5819
13,Uganda,C,0,Group stage,451.0387,789.6545,4,-5.2909
14,Papua New Guinea,C,2,Group stage,514.0253,648.1944,4,-2.0964
15,South Africa,S8_G2,8,Super 8 stage,955.2312,863.6029,7,0.8181
16,Sri Lanka,D,4,Group stage,510.5565,480.2907,4,0.4729
17,Bangladesh,S8_G1,6,Super 8 stage,848.7077,847.0839,7,0.0145
18,Netherlands,D,2,Group stage,480.1886,549.1756,4,-1.0779
19,Nepal,D,0,Group stage,439.9097,578.4973,4,-2.1654
