,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1273.5657,1010.4604,9,1.8271
1,Pakistan,S8_G2,10,Super 8 stage,954.1085,813.8297,7,1.2525
2,Ireland,A,4,Group stage,525.8363,466.4957,4,0.9272
3,Canada,A,0,Group stage,385.9847,675.3945,4,-4.522
4,United States of America,A,2,Group stage,430.4249,564.5671,4,-2.096
5,England,S8_G2,12,Finalist,1278.2757,1082.9055,9,1.3567
6,Australia,S8_G1,12,Semifinalist,1128.3526,950.7104,8,1.3878
7,Namibia,B,2,Group stage,462.6327,542.376,4,-1.246
8,Scotland,B,4,Group stage,469.2462,557.8738,4,-1.3848
9,Oman,B,0,Group stage,422.5631,578.3547,4,-2.4342
10,New Zealand,S8_G1,8,Super 8 stage,1043.1719,793.3438,7,2.2306
11,West Indies,S8_G2,10,Semifinalist,1211.6145,985.6945,8,1.765
12,Afghanistan,C,4,Group stage,550.7683,586.1201,4,-0.5524
13,Uganda,C,0,Group stage,443.2177,754.0343,4,-4.8565
14,Papua New Guinea,C,2,Group stage,504.1879,624.0389,4,-1.8727
15,South Africa,S8_G2,8,Super 8 stage,958.5116,868.8109,7,0.8009
16,Sri Lanka,S8_G1,6,Super 8 stage,841.5023,869.4923,7,-0.2499
17,Bangladesh,D,4,Group stage,486.0917,454.7933,4,0.489
18,Netherlands,D,2,Group stage,484.0215,522.2159,4,-0.5968
19,Nepal,D,0,Group stage,422.6102,575.1764,4,-2.3838
