,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1260.1263,1004.2676,9,1.7768
1,Pakistan,S8_G2,8,Super 8 stage,954.3512,803.968,7,1.3427
2,Ireland,A,4,Group stage,522.798,494.598,4,0.4406
3,Canada,A,0,Group stage,396.5,682.7421,4,-4.4725
4,United States of America,A,2,Group stage,449.4228,572.1772,4,-1.918
5,England,S8_G2,14,Finalist,1254.2001,1096.1614,9,1.0975
6,Australia,S8_G1,10,Super 8 stage,979.924,804.6723,7,1.5647
7,Namibia,B,2,Group stage,472.9155,536.7675,4,-0.9977
8,Scotland,B,4,Group stage,478.8019,538.1445,4,-0.9272
9,Oman,B,0,Group stage,424.5204,601.0289,4,-2.7579
10,New Zealand,S8_G1,10,Semifinalist,1175.0263,893.3042,8,2.201
11,West Indies,S8_G2,10,Semifinalist,1226.0098,985.4118,8,1.8797
12,Afghanistan,C,4,Group stage,580.2043,611.2398,4,-0.4849
13,Uganda,C,0,Group stage,465.9428,782.6781,4,-4.949
14,Papua New Guinea,C,2,Group stage,500.3733,655.1652,4,-2.4186
15,South Africa,S8_G2,8,Super 8 stage,958.0374,862.4209,7,0.8537
16,Sri Lanka,D,4,Group stage,536.1888,491.5081,4,0.6981
17,Bangladesh,S8_G1,6,Super 8 stage,850.6826,856.6644,7,-0.0534
18,Netherlands,D,2,Group stage,517.7305,547.5053,4,-0.4652
19,Nepal,D,0,Group stage,435.5347,618.8655,4,-2.8645
