,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1252.1918,1000.5766,9,1.7473
1,Pakistan,S8_G2,8,Super 8 stage,961.6995,812.6037,7,1.3312
2,Ireland,A,4,Group stage,522.1253,470.555,4,0.8058
3,Canada,A,0,Group stage,393.4724,668.0349,4,-4.29
4,United States of America,A,2,Group stage,417.4493,575.533,4,-2.4701
5,England,S8_G2,14,Finalist,1272.3248,1084.7109,9,1.3029
6,Australia,S8_G1,10,Super 8 stage,975.9526,803.5984,7,1.5389
7,Namibia,B,4,Group stage,465.9258,542.5791,4,-1.1977
8,Scotland,B,2,Group stage,451.3571,549.9422,4,-1.5404
9,Oman,B,0,Group stage,425.373,562.0414,4,-2.1354
10,New Zealand,S8_G1,10,Semifinalist,1188.0252,901.9003,8,2.2354
11,West Indies,S8_G2,10,Semifinalist,1222.6979,967.4033,8,1.9945
12,Afghanistan,C,4,Group stage,547.5392,605.1233,4,-0.8998
13,Uganda,C,0,Group stage,433.1684,751.6698,4,-4.9766
14,Papua New Guinea,C,2,Group stage,504.876,653.2848,4,-2.3189
15,South Africa,S8_G2,8,Super 8 stage,948.2657,860.1623,7,0.7866
16,Sri Lanka,D,4,Group stage,522.496,471.2485,4,0.8007
17,Bangladesh,S8_G1,6,Super 8 stage,845.9452,847.0892,7,-0.0102
18,Netherlands,D,2,Group stage,488.854,531.7524,4,-0.6703
19,Nepal,D,0,Group stage,422.3779,602.3083,4,-2.8114
