,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1268.1802,1007.971,9,1.807
1,Pakistan,S8_G2,6,Super 8 stage,921.6124,802.0708,7,1.0673
2,Ireland,A,4,Group stage,558.9765,471.1395,4,1.3725
3,Canada,A,0,Group stage,386.3235,684.0414,4,-4.6518
4,United States of America,A,2,Group stage,439.078,560.7546,4,-1.9012
5,England,S8_G2,12,Semifinalist,1136.8757,975.2462,8,1.2627
6,Australia,S8_G1,10,Super 8 stage,961.9673,803.5029,7,1.4149
7,Namibia,B,4,Group stage,455.0501,531.597,4,-1.196
8,Scotland,B,2,Group stage,458.2893,539.0874,4,-1.2625
9,Oman,B,0,Group stage,426.4169,565.0463,4,-2.1661
10,New Zealand,S8_G1,12,Finalist,1304.0853,1026.3706,9,1.9286
11,West Indies,S8_G2,10,Semifinalist,1227.4988,994.4203,8,1.8209
12,Afghanistan,C,4,Group stage,569.8723,594.1945,4,-0.38
13,Uganda,C,0,Group stage,430.0218,779.0864,4,-5.4541
14,Papua New Guinea,C,2,Group stage,508.1392,647.1501,4,-2.172
15,South Africa,S8_G2,10,Super 8 stage,963.3091,852.6421,7,0.9881
16,Sri Lanka,D,4,Group stage,526.1107,469.0369,4,0.8918
17,Bangladesh,S8_G1,6,Super 8 stage,847.1048,842.2405,7,0.0434
18,Netherlands,D,2,Group stage,504.3153,532.9111,4,-0.4468
19,Nepal,D,0,Group stage,426.6697,641.3874,4,-3.355
