,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1244.4209,997.5011,9,1.7147
1,Pakistan,S8_G2,10,Semifinalist,1082.1784,942.7675,8,1.0891
2,Ireland,A,4,Group stage,517.3031,462.3556,4,0.8586
3,Canada,A,0,Group stage,383.8104,687.0578,4,-4.7382
4,United States of America,A,2,Group stage,440.796,564.4709,4,-1.9324
5,England,S8_G2,12,Semifinalist,1131.7046,970.8893,8,1.2564
6,Australia,S8_G1,12,Super 8 stage,979.1641,811.8621,7,1.4938
7,Namibia,B,2,Group stage,472.1911,538.9906,4,-1.0437
8,Scotland,B,4,Group stage,464.7254,532.6354,4,-1.0611
9,Oman,B,0,Group stage,424.9682,586.1769,4,-2.5189
10,New Zealand,S8_G1,12,Finalist,1287.4818,1028.3897,9,1.7993
11,West Indies,S8_G2,8,Super 8 stage,1090.5171,850.4947,7,2.1431
12,Afghanistan,C,4,Group stage,577.69,615.5568,4,-0.5917
13,Uganda,C,0,Group stage,447.5103,735.513,4,-4.5
14,Papua New Guinea,C,2,Group stage,480.8943,633.5313,4,-2.385
15,South Africa,S8_G2,6,Super 8 stage,952.072,878.7312,7,0.6548
16,Sri Lanka,D,4,Group stage,538.6349,497.4059,4,0.6442
17,Bangladesh,S8_G1,8,Super 8 stage,877.5697,839.7298,7,0.3379
18,Netherlands,D,2,Group stage,490.5008,531.0212,4,-0.6331
19,Nepal,D,0,Group stage,433.1176,612.1699,4,-2.7977
