,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1257.7948,1004.0909,9,1.7618
1,Pakistan,S8_G2,8,Super 8 stage,964.0469,810.2668,7,1.373
2,Ireland,A,4,Group stage,509.6479,470.266,4,0.6153
3,Canada,A,0,Group stage,393.1101,708.2834,4,-4.9246
4,United States of America,A,2,Group stage,456.8475,563.5736,4,-1.6676
5,England,S8_G2,10,Semifinalist,1143.7939,975.1706,8,1.3174
6,Australia,S8_G1,10,Super 8 stage,966.2745,807.1508,7,1.4207
7,Namibia,B,2,Group stage,472.6482,542.8398,4,-1.0967
8,Scotland,B,4,Group stage,485.5519,545.5681,4,-0.9378
9,Oman,B,0,Group stage,429.6879,605.1844,4,-2.7421
10,New Zealand,S8_G1,12,Semifinalist,1165.5495,919.9624,8,1.9186
11,West Indies,S8_G2,10,Finalist,1350.8162,1096.8565,9,1.7636
12,Afghanistan,C,4,Group stage,575.4321,591.9586,4,-0.2582
13,Uganda,C,0,Group stage,431.7415,736.6826,4,-4.7647
14,Papua New Guinea,C,2,Group stage,501.5968,663.6282,4,-2.5317
15,South Africa,S8_G2,10,Super 8 stage,968.6089,876.9662,7,0.8182
16,Sri Lanka,D,4,Group stage,522.7486,483.6645,4,0.6107
17,Bangladesh,S8_G1,6,Super 8 stage,863.2906,842.9787,7,0.1814
18,Netherlands,D,2,Group stage,509.9098,549.1991,4,-0.6139
19,Nepal,D,0,Group stage,446.3636,621.1701,4,-2.7314
