,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1257.0481,998.9903,9,1.7921
1,Pakistan,S8_G2,6,Super 8 stage,941.0673,807.9861,7,1.1882
2,Ireland,A,4,Group stage,514.6851,483.3462,4,0.4897
3,Canada,A,0,Group stage,380.9131,679.4384,4,-4.6645
4,United States of America,A,2,Group stage,438.3294,545.6864,4,-1.6775
5,England,S8_G2,10,Semifinalist,1112.6682,951.0854,8,1.2624
6,Australia,S8_G1,12,Champion,1258.5084,1070.3124,9,1.3069
7,Namibia,B,2,Group stage,443.6268,542.6988,4,-1.548
8,Scotland,B,4,Group stage,473.1903,554.9485,4,-1.2775
9,Oman,B,0,Group stage,445.9062,579.0067,4,-2.0797
10,New Zealand,S8_G1,8,Super 8 stage,1020.15,795.6854,7,2.0041
11,West Indies,S8_G2,14,Semifinalist,1237.825,969.0957,8,2.0994
12,Afghanistan,C,4,Group stage,571.0919,593.7079,4,-0.3534
13,Uganda,C,0,Group stage,446.3334,754.4391,4,-4.8142
14,Papua New Guinea,C,2,Group stage,492.6549,641.5422,4,-2.3264
15,South Africa,S8_G2,10,Super 8 stage,960.4995,858.2364,7,0.9131
16,Sri Lanka,D,4,Group stage,522.2539,488.6893,4,0.5244
17,Bangladesh,S8_G1,6,Super 8 stage,859.2389,841.2406,7,0.1607
18,Netherlands,D,2,Group stage,510.1412,531.622,4,-0.3356
19,Nepal,D,0,Group stage,431.4388,629.8127,4,-3.0996
