,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1259.4457,997.0997,9,1.8218
1,Pakistan,S8_G2,8,Super 8 stage,955.3482,810.145,7,1.2965
2,Ireland,A,4,Group stage,504.7502,467.2891,4,0.5853
3,Canada,A,0,Group stage,386.1833,678.6961,4,-4.5705
4,United States of America,A,2,Group stage,433.3962,553.2779,4,-1.8732
5,England,S8_G2,10,Semifinalist,1132.8556,983.2281,8,1.169
6,Australia,S8_G1,12,Champion,1254.1407,1071.9755,9,1.265
7,Namibia,B,2,Group stage,465.5809,543.2613,4,-1.2138
8,Scotland,B,4,Group stage,471.903,531.1698,4,-0.926
9,Oman,B,0,Group stage,433.316,603.7435,4,-2.6629
10,New Zealand,S8_G1,10,Super 8 stage,1020.8167,781.7814,7,2.1342
11,West Indies,S8_G2,12,Semifinalist,1233.7343,977.721,8,2.0001
12,Afghanistan,C,4,Group stage,576.1255,595.0045,4,-0.295
13,Uganda,C,0,Group stage,456.7833,761.2497,4,-4.7573
14,Papua New Guinea,C,2,Group stage,497.0818,653.186,4,-2.4391
15,South Africa,S8_G2,8,Super 8 stage,960.386,878.4894,7,0.7312
16,Sri Lanka,D,4,Group stage,542.0391,491.1993,4,0.7944
17,Bangladesh,S8_G1,6,Super 8 stage,866.2265,832.3329,7,0.3026
18,Netherlands,D,2,Group stage,499.1529,555.3624,4,-0.8783
19,Nepal,D,0,Group stage,443.9646,627.018,4,-2.8602
