,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Semifinalist,1098.7028,868.65,8,1.7973
1,Pakistan,S8_G2,6,Super 8 stage,956.7818,824.2993,7,1.1829
2,Ireland,A,4,Group stage,521.8055,488.9555,4,0.5133
3,Canada,A,0,Group stage,393.3146,685.6152,4,-4.5672
4,United States of America,A,2,Group stage,472.5912,559.0222,4,-1.3505
5,England,S8_G2,10,Finalist,1257.386,1095.2379,9,1.126
6,Australia,S8_G1,12,Champion,1256.6803,1066.0139,9,1.3241
7,Namibia,B,4,Group stage,469.424,548.0598,4,-1.2287
8,Scotland,B,2,Group stage,458.6388,559.08,4,-1.5694
9,Oman,B,0,Group stage,439.3781,583.9864,4,-2.2595
10,New Zealand,S8_G1,10,Super 8 stage,1049.2253,775.791,7,2.4414
11,West Indies,S8_G2,12,Semifinalist,1228.2829,968.3394,8,2.0308
12,Afghanistan,C,4,Group stage,558.2785,595.6928,4,-0.5846
13,Uganda,C,0,Group stage,417.9968,750.0891,4,-5.1889
14,Papua New Guinea,C,2,Group stage,492.0693,641.6538,4,-2.3373
15,South Africa,S8_G2,10,Super 8 stage,942.6691,863.4928,7,0.7069
16,Sri Lanka,D,4,Group stage,532.7771,490.7535,4,0.6566
17,Bangladesh,S8_G1,6,Super 8 stage,872.9441,847.6363,7,0.226
18,Netherlands,D,2,Group stage,505.5023,546.22,4,-0.6362
19,Nepal,D,0,Group stage,432.2774,598.137,4,-2.5916
