,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1270.8908,1010.9881,9,1.8049
1,Pakistan,S8_G2,10,Super 8 stage,981.0401,827.666,7,1.3694
2,Ireland,A,4,Group stage,541.8598,478.802,4,0.9853
3,Canada,A,0,Group stage,376.6782,719.5635,4,-5.3576
4,United States of America,A,2,Group stage,463.4022,561.9671,4,-1.5401
5,England,S8_G2,14,Semifinalist,1146.3221,948.328,8,1.5468
6,Australia,S8_G1,12,Finalist,1231.8174,1061.2028,9,1.1848
7,Namibia,B,2,Group stage,453.4326,559.9625,4,-1.6645
8,Scotland,B,4,Group stage,473.2265,539.6271,4,-1.0375
9,Oman,B,0,Group stage,436.1939,595.1002,4,-2.4829
10,New Zealand,S8_G1,8,Super 8 stage,1045.0101,779.0466,7,2.3747
11,West Indies,S8_G2,10,Semifinalist,1224.9546,1007.8066,8,1.6965
12,Afghanistan,C,4,Group stage,587.1854,615.4007,4,-0.4409
13,Uganda,C,0,Group stage,428.8149,749.3312,4,-5.0081
14,Papua New Guinea,C,2,Group stage,505.8275,641.87,4,-2.1257
15,South Africa,S8_G2,8,Super 8 stage,959.5154,873.5489,7,0.7676
16,Sri Lanka,D,4,Group stage,526.6528,482.998,4,0.6821
17,Bangladesh,S8_G1,6,Super 8 stage,861.5014,833.828,7,0.2471
18,Netherlands,D,2,Group stage,495.5347,523.3323,4,-0.4343
19,Nepal,D,0,Group stage,427.0327,626.5236,4,-3.117
