,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1273.2923,996.9385,9,1.9191
1,Pakistan,S8_G2,10,Super 8 stage,956.8908,812.6627,7,1.2878
2,Ireland,A,4,Group stage,533.9711,480.125,4,0.8413
3,Canada,A,0,Group stage,399.8308,689.3476,4,-4.5237
4,United States of America,A,2,Group stage,451.3231,603.2022,4,-2.3731
5,England,S8_G2,12,Semifinalist,1143.3745,973.2803,8,1.3289
6,Australia,S8_G1,12,Finalist,1231.9465,1054.0498,9,1.2354
7,Namibia,B,2,Group stage,460.5217,545.4914,4,-1.3277
8,Scotland,B,2,Group stage,469.5731,548.1795,4,-1.2282
9,Oman,B,2,Group stage,442.2247,589.3381,4,-2.2986
10,New Zealand,S8_G1,8,Super 8 stage,1019.4631,777.9367,7,2.1565
11,West Indies,S8_G2,10,Semifinalist,1222.258,985.6993,8,1.8481
12,Afghanistan,C,4,Group stage,580.6464,584.3464,4,-0.0578
13,Uganda,C,0,Group stage,434.8238,760.1767,4,-5.0836
14,Papua New Guinea,C,2,Group stage,508.9683,669.2823,4,-2.5049
15,South Africa,S8_G2,8,Super 8 stage,958.2077,857.9593,7,0.8951
16,Sri Lanka,D,4,Group stage,524.9961,476.2792,4,0.7612
17,Bangladesh,S8_G1,6,Super 8 stage,847.866,843.5068,7,0.0389
18,Netherlands,D,2,Group stage,499.5055,530.0707,4,-0.4776
19,Nepal,D,0,Group stage,424.2204,606.0314,4,-2.8408
