,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1252.5264,989.4536,9,1.8269
1,Pakistan,S8_G2,8,Super 8 stage,966.2962,812.0728,7,1.377
2,Ireland,A,4,Group stage,516.5721,466.0012,4,0.7902
3,Canada,A,0,Group stage,372.1198,665.1363,4,-4.5784
4,United States of America,A,2,Group stage,422.595,559.5711,4,-2.1403
5,England,S8_G2,12,Semifinalist,1139.1717,969.7413,8,1.3237
6,Australia,S8_G1,12,Finalist,1231.1841,1065.5748,9,1.1501
7,Namibia,B,2,Group stage,465.3312,549.1885,4,-1.3103
8,Scotland,B,4,Group stage,461.5669,548.9976,4,-1.3661
9,Oman,B,0,Group stage,448.3879,571.7176,4,-1.927
10,New Zealand,S8_G1,10,Super 8 stage,1028.7256,785.9591,7,2.1676
11,West Indies,S8_G2,10,Semifinalist,1226.925,972.3226,8,1.9891
12,Afghanistan,C,4,Group stage,579.366,610.1077,4,-0.4803
13,Uganda,C,0,Group stage,417.6113,773.6097,4,-5.5625
14,Papua New Guinea,C,2,Group stage,522.5437,629.8572,4,-1.6768
15,South Africa,S8_G2,8,Super 8 stage,953.2746,870.858,7,0.7359
16,Sri Lanka,D,4,Group stage,526.777,481.7238,4,0.704
17,Bangladesh,S8_G1,6,Super 8 stage,854.4493,839.2751,7,0.1355
18,Netherlands,D,2,Group stage,512.5095,524.8335,4,-0.1926
19,Nepal,D,0,Group stage,425.7773,637.7092,4,-3.3114
