,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1252.2414,1000.3031,9,1.7496
1,Pakistan,S8_G2,8,Super 8 stage,954.434,817.1422,7,1.2258
2,Ireland,A,4,Group stage,518.9909,495.8644,4,0.3614
3,Canada,A,0,Group stage,382.9828,678.6125,4,-4.6192
4,United States of America,A,2,Group stage,452.3776,558.06,4,-1.6513
5,England,S8_G2,14,Semifinalist,1133.4273,959.7127,8,1.3571
6,Australia,S8_G1,10,Super 8 stage,973.2834,803.2481,7,1.5182
7,Namibia,B,2,Group stage,465.122,552.6362,4,-1.3674
8,Scotland,B,4,Group stage,485.393,555.7423,4,-1.0992
9,Oman,B,0,Group stage,437.6537,587.9549,4,-2.3485
10,New Zealand,S8_G1,10,Finalist,1273.2245,1022.3018,9,1.7425
11,West Indies,S8_G2,12,Semifinalist,1244.9982,989.7273,8,1.9943
12,Afghanistan,C,4,Group stage,590.8895,595.3297,4,-0.0694
13,Uganda,C,0,Group stage,432.5512,764.9374,4,-5.1935
14,Papua New Guinea,C,2,Group stage,503.5547,663.2818,4,-2.4957
15,South Africa,S8_G2,8,Super 8 stage,952.403,858.6478,7,0.8371
16,Sri Lanka,D,4,Group stage,508.1074,494.9954,4,0.2049
17,Bangladesh,S8_G1,6,Super 8 stage,875.2433,830.0345,7,0.4037
18,Netherlands,D,2,Group stage,506.3644,534.1632,4,-0.4344
19,Nepal,D,0,Group stage,436.5145,617.0614,4,-2.821
