,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1248.703,1006.2994,9,1.6834
1,Pakistan,S8_G2,8,Super 8 stage,942.8363,808.8679,7,1.1961
2,Ireland,A,4,Group stage,502.8907,483.1059,4,0.3091
3,Canada,A,0,Group stage,384.512,649.4015,4,-4.1389
4,United States of America,A,2,Group stage,450.22,552.1029,4,-1.5919
5,England,S8_G2,12,Finalist,1270.3138,1078.9753,9,1.3287
6,Australia,S8_G1,12,Semifinalist,1107.3927,937.48,8,1.3274
7,Namibia,B,2,Group stage,458.7765,551.7145,4,-1.4522
8,Scotland,B,4,Group stage,464.073,527.5132,4,-0.9913
9,Oman,B,0,Group stage,420.0379,585.2508,4,-2.5815
10,New Zealand,S8_G1,10,Super 8 stage,1060.4352,794.4968,7,2.3744
11,West Indies,S8_G2,10,Semifinalist,1220.848,967.202,8,1.9816
12,Afghanistan,C,4,Group stage,593.5685,596.7902,4,-0.0503
13,Uganda,C,0,Group stage,427.4846,803.1124,4,-5.8692
14,Papua New Guinea,C,2,Group stage,517.786,639.6035,4,-1.9034
15,South Africa,S8_G2,8,Super 8 stage,967.0316,875.9013,7,0.8137
16,Sri Lanka,D,4,Group stage,532.5013,467.905,4,1.0093
17,Bangladesh,S8_G1,6,Super 8 stage,839.6323,840.5281,7,-0.008
18,Netherlands,D,2,Group stage,482.7239,550.0156,4,-1.0514
19,Nepal,D,0,Group stage,436.8723,612.3734,4,-2.7422
