,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1257.9301,992.5492,9,1.8429
1,Pakistan,S8_G2,8,Super 8 stage,975.0101,817.3817,7,1.4074
2,Ireland,A,4,Group stage,518.1087,481.9153,4,0.5655
3,Canada,A,0,Group stage,385.3964,669.5065,4,-4.4392
4,United States of America,A,2,Group stage,438.4454,565.9786,4,-1.9927
5,England,S8_G2,12,Semifinalist,1136.1093,953.5467,8,1.4263
6,Australia,S8_G1,10,Super 8 stage,976.3823,798.3219,7,1.5898
7,Namibia,B,2,Group stage,450.1615,544.545,4,-1.4747
8,Scotland,B,4,Group stage,469.6525,547.0488,4,-1.2093
9,Oman,B,0,Group stage,429.1829,587.7213,4,-2.4772
10,New Zealand,S8_G1,12,Finalist,1317.0786,1044.8472,9,1.8905
11,West Indies,S8_G2,10,Semifinalist,1215.0676,969.0678,8,1.9219
12,Afghanistan,C,4,Group stage,571.9858,601.5415,4,-0.4618
13,Uganda,C,0,Group stage,464.1115,782.0346,4,-4.9675
14,Papua New Guinea,C,2,Group stage,496.9854,663.514,4,-2.602
15,South Africa,S8_G2,8,Super 8 stage,960.2913,867.3383,7,0.8299
16,Sri Lanka,D,4,Group stage,524.4009,494.3607,4,0.4694
17,Bangladesh,S8_G1,6,Super 8 stage,853.1896,849.1764,7,0.0358
18,Netherlands,D,2,Group stage,501.8972,533.0354,4,-0.4865
19,Nepal,D,0,Group stage,439.354,617.3102,4,-2.7806
