,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1262.1535,995.8145,9,1.8496
1,Pakistan,S8_G2,8,Super 8 stage,957.8257,824.7916,7,1.1878
2,Ireland,A,4,Group stage,516.3667,461.4307,4,0.8584
3,Canada,A,0,Group stage,401.3052,684.3699,4,-4.4229
4,United States of America,A,2,Group stage,438.5243,576.7058,4,-2.1591
5,England,S8_G2,12,Finalist,1283.2542,1104.609,9,1.2406
6,Australia,S8_G1,10,Super 8 stage,988.1096,815.3672,7,1.5423
7,Namibia,B,4,Group stage,475.9793,552.2601,4,-1.1919
8,Scotland,B,2,Group stage,469.8908,570.1749,4,-1.5669
9,Oman,B,0,Group stage,457.6693,590.6857,4,-2.0784
10,New Zealand,S8_G1,12,Semifinalist,1160.0484,902.2844,8,2.0138
11,West Indies,S8_G2,10,Semifinalist,1228.9197,990.9726,8,1.859
12,Afghanistan,C,4,Group stage,597.3432,618.5359,4,-0.3311
13,Uganda,C,0,Group stage,423.4345,768.3752,4,-5.3897
14,Papua New Guinea,C,2,Group stage,503.9128,622.975,4,-1.8603
15,South Africa,S8_G2,8,Super 8 stage,950.627,872.1534,7,0.7007
16,Sri Lanka,D,4,Group stage,525.7943,487.3547,4,0.6006
17,Bangladesh,S8_G1,6,Super 8 stage,866.6999,849.0639,7,0.1575
18,Netherlands,D,2,Group stage,505.0877,537.5857,4,-0.5078
19,Nepal,D,0,Group stage,441.9598,629.3956,4,-2.9287
