,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1272.8414,1004.9409,9,1.8604
1,Pakistan,S8_G2,6,Super 8 stage,954.791,804.4474,7,1.3424
2,Ireland,A,4,Group stage,530.2462,477.55,4,0.8234
3,Canada,A,0,Group stage,393.9081,663.6967,4,-4.2154
4,United States of America,A,2,Group stage,432.4681,593.2425,4,-2.5121
5,England,S8_G2,14,Semifinalist,1152.4097,947.8313,8,1.5983
6,Australia,S8_G1,8,Super 8 stage,970.9272,817.8281,7,1.367
7,Namibia,B,2,Group stage,447.8213,558.1998,4,-1.7247
8,Scotland,B,4,Group stage,484.3518,544.4829,4,-0.9395
9,Oman,B,0,Group stage,425.0326,581.3972,4,-2.4432
10,New Zealand,S8_G1,14,Semifinalist,1188.7215,908.2193,8,2.1914
11,West Indies,S8_G2,10,Finalist,1346.544,1132.9338,9,1.4834
12,Afghanistan,C,4,Group stage,563.2725,595.2569,4,-0.4998
13,Uganda,C,0,Group stage,418.6662,741.5949,4,-5.0458
14,Papua New Guinea,C,2,Group stage,507.1226,638.5551,4,-2.0536
15,South Africa,S8_G2,10,Super 8 stage,950.9818,881.8168,7,0.6175
16,Sri Lanka,D,4,Group stage,524.7056,489.5716,4,0.549
17,Bangladesh,S8_G1,6,Super 8 stage,860.0036,840.8985,7,0.1706
18,Netherlands,D,2,Group stage,497.5643,524.0486,4,-0.4138
19,Nepal,D,0,Group stage,441.7156,617.5826,4,-2.7479
