,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Semifinalist,1130.092,898.6128,8,1.8084
1,Pakistan,S8_G2,8,Super 8 stage,951.6708,814.5507,7,1.2243
2,Ireland,A,4,Group stage,539.6572,474.1046,4,1.0243
3,Canada,A,0,Group stage,389.4651,670.304,4,-4.3881
4,United States of America,A,2,Group stage,433.4265,576.3318,4,-2.2329
5,England,S8_G2,14,Champion,1270.7902,1095.6617,9,1.2162
6,Australia,S8_G1,8,Super 8 stage,981.2869,822.2707,7,1.4198
7,Namibia,B,2,Group stage,467.3355,544.1042,4,-1.1995
8,Scotland,B,4,Group stage,485.1895,531.6845,4,-0.7265
9,Oman,B,0,Group stage,436.2004,586.2853,4,-2.3451
10,New Zealand,S8_G1,12,Semifinalist,1193.4498,922.0868,8,2.12
11,West Indies,S8_G2,10,Finalist,1359.5962,1107.2742,9,1.7522
12,Afghanistan,C,4,Group stage,566.1594,603.002,4,-0.5757
13,Uganda,C,0,Group stage,471.4685,776.1414,4,-4.7605
14,Papua New Guinea,C,2,Group stage,512.4007,665.2014,4,-2.3875
15,South Africa,S8_G2,8,Super 8 stage,950.4744,864.3573,7,0.7689
16,Sri Lanka,S8_G1,6,Super 8 stage,867.6748,887.7787,7,-0.1795
17,Bangladesh,D,4,Group stage,525.4789,461.8,4,0.995
18,Netherlands,D,2,Group stage,494.4498,523.9487,4,-0.4609
19,Nepal,D,0,Group stage,432.581,633.3467,4,-3.137
