,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1256.7595,1008.2342,9,1.7259
1,Pakistan,S8_G2,6,Super 8 stage,941.5147,802.1803,7,1.2441
2,Ireland,A,4,Group stage,512.5716,476.75,4,0.5597
3,Canada,A,0,Group stage,387.932,672.3705,4,-4.4444
4,United States of America,A,2,Group stage,437.7686,551.2592,4,-1.7733
5,England,S8_G2,12,Semifinalist,1148.7589,985.1181,8,1.2784
6,Australia,S8_G1,10,Super 8 stage,987.263,815.9932,7,1.5292
7,Namibia,B,2,Group stage,467.0531,548.7082,4,-1.2759
8,Scotland,B,4,Group stage,488.7078,544.3183,4,-0.8689
9,Oman,B,0,Group stage,445.0158,613.5195,4,-2.6329
10,New Zealand,S8_G1,12,Finalist,1319.1581,1048.6675,9,1.8784
11,West Indies,S8_G2,10,Semifinalist,1233.9586,981.7431,8,1.9704
12,Afghanistan,C,4,Group stage,569.33,598.2901,4,-0.4525
13,Uganda,C,0,Group stage,434.605,765.7574,4,-5.1743
14,Papua New Guinea,C,2,Group stage,497.9485,638.4958,4,-2.1961
15,South Africa,S8_G2,10,Super 8 stage,951.8003,861.9135,7,0.8026
16,Sri Lanka,D,4,Group stage,510.46,484.9919,4,0.3979
17,Bangladesh,S8_G1,6,Super 8 stage,868.2952,834.7698,7,0.2993
18,Netherlands,D,2,Group stage,491.9825,523.3437,4,-0.49
19,Nepal,D,0,Group stage,421.3009,615.7597,4,-3.0384
