,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Semifinalist,1115.6482,879.9357,8,1.8415
1,Pakistan,S8_G2,6,Super 8 stage,936.1834,802.9436,7,1.1896
2,Ireland,A,4,Group stage,532.2661,464.622,4,1.0569
3,Canada,A,0,Group stage,389.7609,664.9174,4,-4.2993
4,United States of America,A,2,Group stage,415.9025,566.3798,4,-2.3512
5,England,S8_G2,12,Champion,1270.5522,1108.0507,9,1.1285
6,Australia,S8_G1,12,Super 8 stage,978.7401,798.4118,7,1.6101
7,Namibia,B,2,Group stage,459.7137,545.5002,4,-1.3404
8,Scotland,B,4,Group stage,485.5159,553.6218,4,-1.0642
9,Oman,B,0,Group stage,452.3277,595.3317,4,-2.2344
10,New Zealand,S8_G1,12,Semifinalist,1170.0068,920.8646,8,1.9464
11,West Indies,S8_G2,10,Finalist,1339.4335,1124.6328,9,1.4917
12,Afghanistan,C,4,Group stage,596.5981,589.1708,4,0.1161
13,Uganda,C,0,Group stage,456.6648,725.782,4,-4.205
14,Papua New Guinea,C,2,Group stage,471.6873,668.1063,4,-3.069
15,South Africa,S8_G2,10,Super 8 stage,958.6488,850.1133,7,0.9691
16,Sri Lanka,D,4,Group stage,503.1149,477.5052,4,0.4002
17,Bangladesh,S8_G1,6,Super 8 stage,865.6491,828.3325,7,0.3332
18,Netherlands,D,2,Group stage,492.9708,537.5528,4,-0.6966
19,Nepal,D,0,Group stage,424.9332,614.5431,4,-2.9627
