,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1261.7009,1003.2942,9,1.7945
1,Pakistan,S8_G2,8,Super 8 stage,949.368,792.6836,7,1.399
2,Ireland,A,4,Group stage,537.3216,478.553,4,0.9183
3,Canada,A,0,Group stage,398.9504,677.9379,4,-4.3592
4,United States of America,A,2,Group stage,427.158,573.6551,4,-2.289
5,England,S8_G2,12,Champion,1266.4581,1099.9108,9,1.1566
6,Australia,S8_G1,12,Semifinalist,1108.2592,940.9211,8,1.3073
7,Namibia,B,4,Group stage,468.1922,528.9382,4,-0.9492
8,Scotland,B,2,Group stage,451.1933,534.094,4,-1.2953
9,Oman,B,0,Group stage,431.2851,584.0211,4,-2.3865
10,New Zealand,S8_G1,10,Super 8 stage,1024.6333,775.8145,7,2.2216
11,West Indies,S8_G2,8,Super 8 stage,1085.2654,839.9634,7,2.1902
12,Afghanistan,C,4,Group stage,582.9983,573.2847,4,0.1518
13,Uganda,C,0,Group stage,418.6129,744.8505,4,-5.0975
14,Papua New Guinea,C,2,Group stage,470.6519,637.7463,4,-2.6109
15,South Africa,S8_G2,10,Semifinalist,1060.7518,995.8947,8,0.5067
16,Sri Lanka,D,4,Group stage,527.4651,478.2149,4,0.7695
17,Bangladesh,S8_G1,6,Super 8 stage,872.0282,848.7205,7,0.2081
18,Netherlands,D,2,Group stage,494.1502,538.903,4,-0.6993
19,Nepal,D,0,Group stage,425.6898,614.7319,4,-2.9538
