,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1240.5153,997.3336,9,1.6888
1,Pakistan,S8_G2,8,Super 8 stage,950.5105,799.5454,7,1.3479
2,Ireland,A,4,Group stage,516.7669,480.1835,4,0.5716
3,Canada,A,0,Group stage,389.2805,666.1058,4,-4.3254
4,United States of America,A,2,Group stage,429.4557,560.0452,4,-2.0405
5,England,S8_G2,14,Finalist,1263.8054,1101.6019,9,1.1264
6,Australia,S8_G1,10,Super 8 stage,969.12,804.5266,7,1.4696
7,Namibia,B,4,Group stage,460.584,537.4982,4,-1.2018
8,Scotland,B,2,Group stage,471.7249,547.2069,4,-1.1794
9,Oman,B,0,Group stage,435.7393,581.1367,4,-2.2718
10,New Zealand,S8_G1,10,Semifinalist,1130.0767,910.9594,8,1.7119
11,West Indies,S8_G2,10,Semifinalist,1202.4128,980.4953,8,1.7337
12,Afghanistan,C,4,Group stage,583.4962,586.2316,4,-0.0427
13,Uganda,C,0,Group stage,447.7533,745.2527,4,-4.6484
14,Papua New Guinea,C,2,Group stage,513.7183,625.8848,4,-1.7526
15,South Africa,S8_G2,8,Super 8 stage,964.2707,866.5065,7,0.8729
16,Sri Lanka,D,4,Group stage,534.1395,485.0106,4,0.7676
17,Bangladesh,S8_G1,6,Super 8 stage,857.5187,839.5469,7,0.1605
18,Netherlands,D,2,Group stage,489.3713,546.5822,4,-0.8939
19,Nepal,D,0,Group stage,422.0727,610.6789,4,-2.947
