,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1260.8786,1007.0449,9,1.7627
1,Pakistan,S8_G2,8,Super 8 stage,950.3101,813.4486,7,1.222
2,Ireland,A,4,Group stage,531.4778,481.1437,4,0.7865
3,Canada,A,0,Group stage,388.3201,688.1802,4,-4.6853
4,United States of America,A,2,Group stage,456.4431,551.0458,4,-1.4782
5,England,S8_G2,14,Semifinalist,1128.0365,958.1201,8,1.3275
6,Australia,S8_G1,8,Super 8 stage,972.091,813.3939,7,1.4169
7,Namibia,B,4,Group stage,450.7408,522.0745,4,-1.1146
8,Scotland,B,2,Group stage,476.5464,544.1589,4,-1.0564
9,Oman,B,0,Group stage,445.6976,602.3833,4,-2.4482
10,New Zealand,S8_G1,10,Finalist,1314.1626,1037.3717,9,1.9222
11,West Indies,S8_G2,12,Semifinalist,1212.6502,981.6322,8,1.8048
12,Afghanistan,C,4,Group stage,589.2982,612.4712,4,-0.3621
13,Uganda,C,0,Group stage,457.9694,757.1724,4,-4.675
14,Papua New Guinea,C,2,Group stage,509.5958,671.6063,4,-2.5314
15,South Africa,S8_G2,8,Super 8 stage,955.8288,870.8354,7,0.7589
16,Sri Lanka,D,4,Group stage,518.8604,488.3077,4,0.4774
17,Bangladesh,S8_G1,6,Super 8 stage,843.6976,848.5148,7,-0.043
18,Netherlands,D,2,Group stage,494.0062,526.1227,4,-0.5018
19,Nepal,D,0,Group stage,427.3024,608.885,4,-2.8372
