,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1253.5976,1022.4871,9,1.6049
1,Pakistan,S8_G2,8,Super 8 stage,965.488,812.9249,7,1.3622
2,Ireland,A,4,Group stage,525.3549,487.3111,4,0.5944
3,Canada,A,0,Group stage,398.0887,650.8442,4,-3.9493
4,United States of America,A,2,Group stage,435.5828,589.2053,4,-2.4004
5,England,S8_G2,12,Semifinalist,1144.6345,979.1723,8,1.2927
6,Australia,S8_G1,12,Finalist,1249.8619,1079.3024,9,1.1844
7,Namibia,B,4,Group stage,463.523,550.1334,4,-1.3533
8,Scotland,B,2,Group stage,470.7346,538.89,4,-1.0649
9,Oman,B,0,Group stage,448.5818,591.2849,4,-2.2297
10,New Zealand,S8_G1,10,Super 8 stage,1025.0772,773.6028,7,2.2453
11,West Indies,S8_G2,10,Semifinalist,1233.894,986.1886,8,1.9352
12,Afghanistan,C,4,Group stage,570.9171,579.6233,4,-0.136
13,Uganda,C,0,Group stage,422.0271,763.7712,4,-5.3398
14,Papua New Guinea,C,2,Group stage,480.1162,604.1658,4,-1.9383
15,South Africa,S8_G2,8,Super 8 stage,957.0254,873.0913,7,0.7494
16,Sri Lanka,D,4,Group stage,521.4295,474.0113,4,0.7409
17,Bangladesh,S8_G1,6,Super 8 stage,853.2409,839.6618,7,0.1212
18,Netherlands,D,2,Group stage,471.6456,539.061,4,-1.0534
19,Nepal,D,0,Group stage,438.8904,594.9785,4,-2.4389
