,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1254.442,1014.6688,9,1.6651
1,Pakistan,S8_G2,6,Super 8 stage,953.4681,812.6421,7,1.2574
2,Ireland,A,4,Group stage,507.5336,480.2517,4,0.4263
3,Canada,A,0,Group stage,400.1566,681.7521,4,-4.3999
4,United States of America,A,2,Group stage,454.4585,552.475,4,-1.5315
5,England,S8_G2,12,Semifinalist,1128.4517,968.398,8,1.2504
6,Australia,S8_G1,12,Champion,1251.8122,1069.6545,9,1.265
7,Namibia,B,2,Group stage,453.924,540.5638,4,-1.3537
8,Scotland,B,4,Group stage,474.2705,531.3917,4,-0.8925
9,Oman,B,0,Group stage,430.3563,574.9063,4,-2.2586
10,New Zealand,S8_G1,10,Super 8 stage,1063.9119,778.0644,7,2.5522
11,West Indies,S8_G2,10,Semifinalist,1183.0958,983.5095,8,1.5593
12,Afghanistan,C,4,Group stage,595.2704,592.665,4,0.0407
13,Uganda,C,0,Group stage,416.0,764.8993,4,-5.4516
14,Papua New Guinea,C,2,Group stage,502.4604,635.4335,4,-2.0777
15,South Africa,S8_G2,10,Super 8 stage,944.8982,852.0569,7,0.8289
16,Sri Lanka,S8_G1,6,Super 8 stage,862.4217,879.5272,7,-0.1527
17,Bangladesh,D,4,Group stage,509.9599,453.6927,4,0.8792
18,Netherlands,D,2,Group stage,492.4128,551.4532,4,-0.9225
19,Nepal,D,0,Group stage,436.673,597.9718,4,-2.5203
