,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1259.9969,984.7111,9,1.9117
1,Pakistan,S8_G2,6,Super 8 stage,947.8007,823.4978,7,1.1098
2,Ireland,A,4,Group stage,535.073,480.9566,4,0.8456
3,Canada,A,0,Group stage,377.7242,685.8565,4,-4.8146
4,United States of America,A,2,Group stage,444.7613,555.8615,4,-1.7359
5,England,S8_G2,14,Semifinalist,1141.9737,963.3338,8,1.3956
6,Australia,S8_G1,10,Super 8 stage,970.4307,810.4653,7,1.4283
7,Namibia,B,2,Group stage,461.8406,545.9576,4,-1.3143
8,Scotland,B,4,Group stage,468.2226,530.5438,4,-0.9738
9,Oman,B,0,Group stage,440.3597,588.0966,4,-2.3084
10,New Zealand,S8_G1,10,Finalist,1269.9044,1020.7942,9,1.7299
11,West Indies,S8_G2,8,Super 8 stage,1100.5619,849.8413,7,2.2386
12,Afghanistan,C,4,Group stage,580.0081,585.929,4,-0.0925
13,Uganda,C,0,Group stage,446.4642,741.687,4,-4.6129
14,Papua New Guinea,C,2,Group stage,461.0192,648.6529,4,-2.9318
15,South Africa,S8_G2,12,Semifinalist,1086.6384,981.0934,8,0.8246
16,Sri Lanka,D,4,Group stage,520.5312,466.832,4,0.8391
17,Bangladesh,S8_G1,6,Super 8 stage,833.0656,847.6309,7,-0.13
18,Netherlands,D,2,Group stage,488.1918,527.0751,4,-0.6076
19,Nepal,D,0,Group stage,420.1509,615.9026,4,-3.0586
