,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1254.4454,1007.3609,9,1.7159
1,Pakistan,S8_G2,8,Super 8 stage,954.7034,811.2057,7,1.2812
2,Ireland,A,4,Group stage,527.4666,471.6307,4,0.8724
3,Canada,A,0,Group stage,400.8954,676.5309,4,-4.3068
4,United States of America,A,2,Group stage,439.5297,574.2417,4,-2.1049
5,England,S8_G2,12,Semifinalist,1140.9752,961.0033,8,1.406
6,Australia,S8_G1,12,Finalist,1238.7768,1066.6241,9,1.1955
7,Namibia,B,4,Group stage,452.9851,530.9912,4,-1.2188
8,Scotland,B,2,Group stage,459.1152,547.3282,4,-1.3783
9,Oman,B,0,Group stage,430.4442,578.1072,4,-2.3072
10,New Zealand,S8_G1,10,Super 8 stage,1043.0623,780.7652,7,2.3419
11,West Indies,S8_G2,10,Semifinalist,1214.1962,986.9219,8,1.7756
12,Afghanistan,C,4,Group stage,581.5867,568.2979,4,0.2076
13,Uganda,C,0,Group stage,422.6893,770.2181,4,-5.4301
14,Papua New Guinea,C,2,Group stage,488.6569,635.8372,4,-2.2997
15,South Africa,S8_G2,8,Super 8 stage,959.075,863.2463,7,0.8556
16,Sri Lanka,D,4,Group stage,531.896,490.2821,4,0.6502
17,Bangladesh,S8_G1,6,Super 8 stage,843.8973,855.9832,7,-0.1079
18,Netherlands,D,2,Group stage,489.7446,527.8797,4,-0.5959
19,Nepal,D,0,Group stage,439.0243,608.7099,4,-2.6513
