,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1273.3434,1009.2466,9,1.834
1,Pakistan,S8_G2,8,Super 8 stage,939.9064,808.6781,7,1.1717
2,Ireland,A,4,Group stage,510.9388,473.5261,4,0.5846
3,Canada,A,0,Group stage,383.5142,689.549,4,-4.7818
4,United States of America,A,2,Group stage,429.6742,538.5366,4,-1.701
5,England,S8_G2,12,Champion,1262.0784,1089.8536,9,1.196
6,Australia,S8_G1,12,Semifinalist,1105.834,940.1694,8,1.2943
7,Namibia,B,4,Group stage,464.9423,520.6466,4,-0.8704
8,Scotland,B,2,Group stage,459.6187,555.3412,4,-1.4957
9,Oman,B,0,Group stage,422.4452,564.7263,4,-2.2231
10,New Zealand,S8_G1,10,Super 8 stage,1054.4348,789.5396,7,2.3651
11,West Indies,S8_G2,10,Semifinalist,1214.2435,988.0605,8,1.7671
12,Afghanistan,C,4,Group stage,589.1571,608.5132,4,-0.3024
13,Uganda,C,0,Group stage,434.9653,775.0927,4,-5.3145
14,Papua New Guinea,C,2,Group stage,518.5319,635.207,4,-1.823
15,South Africa,S8_G2,8,Super 8 stage,954.3648,878.7014,7,0.6756
16,Sri Lanka,D,4,Group stage,519.1248,471.1663,4,0.7494
17,Bangladesh,S8_G1,6,Super 8 stage,868.8862,844.7371,7,0.2156
18,Netherlands,D,2,Group stage,478.1072,532.1037,4,-0.8437
19,Nepal,D,0,Group stage,432.2098,602.9258,4,-2.6674
