,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1244.8245,1007.3604,9,1.6491
1,Pakistan,S8_G2,6,Super 8 stage,957.4118,810.7409,7,1.3096
2,Ireland,A,4,Group stage,530.0007,482.6201,4,0.7403
3,Canada,A,0,Group stage,388.2312,680.259,4,-4.5629
4,United States of America,A,2,Group stage,459.0569,574.0841,4,-1.7973
5,England,S8_G2,12,Semifinalist,1136.3535,968.0292,8,1.315
6,Australia,S8_G1,12,Finalist,1251.3105,1064.5369,9,1.297
7,Namibia,B,4,Group stage,448.8475,528.7856,4,-1.249
8,Scotland,B,2,Group stage,472.043,532.48,4,-0.9443
9,Oman,B,0,Group stage,433.4039,601.3032,4,-2.6234
10,New Zealand,S8_G1,10,Super 8 stage,1038.6538,775.7136,7,2.3477
11,West Indies,S8_G2,10,Semifinalist,1234.6409,983.5026,8,1.962
12,Afghanistan,C,4,Group stage,594.8348,634.3631,4,-0.6176
13,Uganda,C,0,Group stage,424.4005,753.9828,4,-5.1497
14,Papua New Guinea,C,2,Group stage,492.6748,638.2115,4,-2.274
15,South Africa,S8_G2,10,Super 8 stage,951.5039,864.057,7,0.7808
16,Sri Lanka,D,4,Group stage,517.9977,478.0296,4,0.6245
17,Bangladesh,S8_G1,6,Super 8 stage,849.2246,817.8208,7,0.2804
18,Netherlands,D,2,Group stage,506.82,542.4571,4,-0.5568
19,Nepal,D,0,Group stage,417.3951,611.292,4,-3.0296
