,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1277.3445,1015.171,9,1.8206
1,Pakistan,S8_G2,8,Super 8 stage,949.0057,819.45,7,1.1567
2,Ireland,A,4,Group stage,525.252,484.8873,4,0.6307
3,Canada,A,0,Group stage,399.7131,676.4419,4,-4.3239
4,United States of America,A,2,Group stage,443.5311,578.7068,4,-2.1121
5,England,S8_G2,14,Finalist,1273.0038,1091.1988,9,1.2625
6,Australia,S8_G1,12,Semifinalist,1126.3559,946.7323,8,1.4033
7,Namibia,B,4,Group stage,461.3785,537.7424,4,-1.1932
8,Scotland,B,2,Group stage,454.6523,548.0523,4,-1.4594
9,Oman,B,0,Group stage,435.715,573.1284,4,-2.1471
10,New Zealand,S8_G1,8,Super 8 stage,1043.8694,789.425,7,2.2718
11,West Indies,S8_G2,12,Semifinalist,1192.9206,968.7677,8,1.7512
12,Afghanistan,C,4,Group stage,590.6003,605.0969,4,-0.2265
13,Uganda,C,0,Group stage,435.0607,755.1219,4,-5.001
14,Papua New Guinea,C,2,Group stage,508.2604,621.8454,4,-1.7748
15,South Africa,S8_G2,8,Super 8 stage,949.2388,871.6003,7,0.6932
16,Sri Lanka,S8_G1,6,Super 8 stage,862.0088,900.2895,7,-0.3418
17,Bangladesh,D,4,Group stage,506.5358,458.8245,4,0.7455
18,Netherlands,D,2,Group stage,492.412,524.3697,4,-0.4993
19,Nepal,D,0,Group stage,439.2558,599.2625,4,-2.5001
