,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1245.0371,1002.3978,9,1.685
1,Pakistan,S8_G2,8,Super 8 stage,947.5026,829.9332,7,1.0497
2,Ireland,A,4,Group stage,527.1782,483.3246,4,0.6852
3,Canada,A,0,Group stage,411.8929,666.3088,4,-3.9752
4,United States of America,A,2,Group stage,454.67,572.2191,4,-1.8367
5,England,S8_G2,14,Semifinalist,1147.0672,956.0818,8,1.4921
6,Australia,S8_G1,8,Super 8 stage,968.0524,808.7921,7,1.422
7,Namibia,B,4,Group stage,462.8332,527.9789,4,-1.0179
8,Scotland,B,2,Group stage,467.6827,558.6198,4,-1.4209
9,Oman,B,0,Group stage,428.1522,590.7627,4,-2.5408
10,New Zealand,S8_G1,12,Finalist,1302.443,1040.2469,9,1.8208
11,West Indies,S8_G2,10,Semifinalist,1207.6435,984.1745,8,1.7459
12,Afghanistan,C,4,Group stage,586.424,625.5594,4,-0.6115
13,Uganda,C,0,Group stage,460.6926,775.7267,4,-4.9224
14,Papua New Guinea,C,2,Group stage,523.7782,644.8187,4,-1.8913
15,South Africa,S8_G2,8,Super 8 stage,947.7619,870.2162,7,0.6924
16,Sri Lanka,D,4,Group stage,528.8661,473.9351,4,0.8583
17,Bangladesh,S8_G1,6,Super 8 stage,866.3549,839.0518,7,0.2438
18,Netherlands,D,2,Group stage,477.8972,524.8603,4,-0.7338
19,Nepal,D,0,Group stage,431.5522,618.4738,4,-2.9207
