,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1250.3524,992.1924,9,1.7928
1,Pakistan,S8_G2,6,Super 8 stage,954.0801,807.4386,7,1.3093
2,Ireland,A,4,Group stage,536.1372,473.0723,4,0.9854
3,Canada,A,0,Group stage,390.9947,696.0449,4,-4.7664
4,United States of America,A,2,Group stage,444.7088,572.3154,4,-1.9939
5,England,S8_G2,12,Semifinalist,1112.9558,969.9175,8,1.1175
6,Australia,S8_G1,8,Super 8 stage,976.5074,809.7379,7,1.489
7,Namibia,B,2,Group stage,458.4013,547.5578,4,-1.3931
8,Scotland,B,4,Group stage,477.1853,550.2558,4,-1.1417
9,Oman,B,0,Group stage,434.1319,572.3586,4,-2.1598
10,New Zealand,S8_G1,10,Finalist,1291.5508,1036.5193,9,1.7711
11,West Indies,S8_G2,14,Semifinalist,1213.9333,963.2756,8,1.9583
12,Afghanistan,C,4,Group stage,567.4219,609.1915,4,-0.6526
13,Uganda,C,0,Group stage,435.534,742.4794,4,-4.796
14,Papua New Guinea,C,2,Group stage,501.2469,638.9802,4,-2.1521
15,South Africa,S8_G2,8,Super 8 stage,966.3773,880.5529,7,0.7663
16,Sri Lanka,D,4,Group stage,528.8651,495.6326,4,0.5193
17,Bangladesh,S8_G1,8,Super 8 stage,862.1174,850.0846,7,0.1074
18,Netherlands,D,2,Group stage,509.371,539.5142,4,-0.471
19,Nepal,D,0,Group stage,459.1408,623.8919,4,-2.5742
