,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1275.4114,1010.3288,9,1.8409
1,Pakistan,S8_G2,6,Super 8 stage,940.2347,822.4202,7,1.0519
2,Ireland,A,4,Group stage,535.0642,482.9222,4,0.8147
3,Canada,A,0,Group stage,391.5393,701.9898,4,-4.8508
4,United States of America,A,2,Group stage,468.2939,566.3381,4,-1.5319
5,England,S8_G2,10,Semifinalist,1130.3723,962.2974,8,1.3131
6,Australia,S8_G1,12,Finalist,1243.5495,1080.9108,9,1.1294
7,Namibia,B,2,Group stage,460.5594,553.0671,4,-1.4454
8,Scotland,B,4,Group stage,473.5851,540.5698,4,-1.0466
9,Oman,B,0,Group stage,428.5804,580.6427,4,-2.376
10,New Zealand,S8_G1,10,Super 8 stage,1059.8062,779.1221,7,2.5061
11,West Indies,S8_G2,12,Semifinalist,1228.4445,1005.2441,8,1.7438
12,Afghanistan,C,4,Group stage,585.8824,616.5466,4,-0.4791
13,Uganda,C,0,Group stage,466.3724,760.9152,4,-4.6022
14,Papua New Guinea,C,2,Group stage,515.9924,679.3615,4,-2.5526
15,South Africa,S8_G2,8,Super 8 stage,964.7655,882.7361,7,0.7324
16,Sri Lanka,D,4,Group stage,516.0975,481.1763,4,0.5456
17,Bangladesh,S8_G1,8,Super 8 stage,869.9552,823.7164,7,0.4128
18,Netherlands,D,2,Group stage,496.5442,536.6705,4,-0.627
19,Nepal,D,0,Group stage,432.0486,616.1237,4,-2.8762
