,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1253.0249,1014.5974,9,1.6557
1,Pakistan,S8_G2,8,Super 8 stage,962.4406,814.2762,7,1.3229
2,Ireland,A,4,Group stage,523.7694,477.7684,4,0.7188
3,Canada,A,0,Group stage,375.6969,674.5507,4,-4.6696
4,United States of America,A,2,Group stage,441.9243,551.005,4,-1.7044
5,England,S8_G2,12,Semifinalist,1133.8288,966.6953,8,1.3057
6,Australia,S8_G1,12,Finalist,1249.6409,1064.4673,9,1.2859
7,Namibia,B,2,Group stage,461.0156,543.9048,4,-1.2951
8,Scotland,B,4,Group stage,482.9471,549.4058,4,-1.0384
9,Oman,B,0,Group stage,439.7585,596.9661,4,-2.4564
10,New Zealand,S8_G1,10,Super 8 stage,1055.4123,768.0385,7,2.5658
11,West Indies,S8_G2,10,Semifinalist,1215.2781,976.0465,8,1.869
12,Afghanistan,C,4,Group stage,594.9745,596.908,4,-0.0302
13,Uganda,C,0,Group stage,428.0746,773.7464,4,-5.4011
14,Papua New Guinea,C,2,Group stage,509.1688,665.8371,4,-2.4479
15,South Africa,S8_G2,8,Super 8 stage,931.2151,862.2691,7,0.6156
16,Sri Lanka,D,4,Group stage,544.443,485.2358,4,0.9251
17,Bangladesh,S8_G1,6,Super 8 stage,847.7066,836.5652,7,0.0995
18,Netherlands,D,2,Group stage,491.3532,554.4732,4,-0.9863
19,Nepal,D,0,Group stage,434.7704,603.6869,4,-2.6393
