,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1258.9402,1010.5663,9,1.7248
1,Pakistan,S8_G2,6,Super 8 stage,947.4019,815.2833,7,1.1796
2,Ireland,A,4,Group stage,539.268,481.6421,4,0.9004
3,Canada,A,0,Group stage,393.2158,663.4574,4,-4.2225
4,United States of America,A,2,Group stage,434.0716,577.3778,4,-2.2392
5,England,S8_G2,14,Semifinalist,1143.17,966.9501,8,1.3767
6,Australia,S8_G1,8,Super 8 stage,983.4444,806.1075,7,1.5834
7,Namibia,B,2,Group stage,446.3877,549.3655,4,-1.609
8,Scotland,B,4,Group stage,467.8314,535.0109,4,-1.0497
9,Oman,B,0,Group stage,425.1821,587.4284,4,-2.5351
10,New Zealand,S8_G1,10,Champion,1302.0574,1058.6297,9,1.6905
11,West Indies,S8_G2,12,Semifinalist,1229.7883,983.257,8,1.926
12,Afghanistan,C,4,Group stage,593.1552,610.0227,4,-0.2636
13,Uganda,C,0,Group stage,431.1872,725.8788,4,-4.6046
14,Papua New Guinea,C,2,Group stage,484.8675,636.3765,4,-2.3673
15,South Africa,S8_G2,10,Super 8 stage,952.5772,859.3037,7,0.8328
16,Sri Lanka,D,4,Group stage,528.8036,468.1012,4,0.9485
17,Bangladesh,S8_G1,6,Super 8 stage,842.8155,850.5089,7,-0.0687
18,Netherlands,D,2,Group stage,503.2585,515.3291,4,-0.1886
19,Nepal,D,0,Group stage,411.6788,618.5053,4,-3.2317
