,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1255.8427,996.7274,9,1.7994
1,Pakistan,S8_G2,8,Super 8 stage,954.2834,802.3777,7,1.3563
2,Ireland,A,4,Group stage,504.3351,475.4971,4,0.4506
3,Canada,A,0,Group stage,392.8212,675.718,4,-4.4203
4,United States of America,A,2,Group stage,441.6267,589.6256,4,-2.3125
5,England,S8_G2,12,Semifinalist,1139.7675,960.7144,8,1.3989
6,Australia,S8_G1,12,Finalist,1252.9383,1049.0938,9,1.4156
7,Namibia,B,2,Group stage,444.8658,551.7799,4,-1.6705
8,Scotland,B,4,Group stage,485.6128,539.9672,4,-0.8493
9,Oman,B,0,Group stage,420.4935,594.0948,4,-2.7125
10,New Zealand,S8_G1,8,Super 8 stage,1038.2514,788.6155,7,2.2289
11,West Indies,S8_G2,12,Semifinalist,1234.8578,963.7134,8,2.1183
12,Afghanistan,C,4,Group stage,544.9161,607.7802,4,-0.9823
13,Uganda,C,0,Group stage,445.4323,747.626,4,-4.7218
14,Papua New Guinea,C,2,Group stage,500.5098,635.3796,4,-2.1073
15,South Africa,S8_G2,8,Super 8 stage,949.7682,858.4418,7,0.8154
16,Sri Lanka,D,4,Group stage,528.0017,488.1881,4,0.6221
17,Bangladesh,S8_G1,6,Super 8 stage,851.1606,835.3427,7,0.1412
18,Netherlands,D,2,Group stage,490.8222,522.8021,4,-0.4997
19,Nepal,D,0,Group stage,423.5281,616.35,4,-3.0128
