,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Semifinalist,1125.1881,877.0804,8,1.9383
1,Pakistan,S8_G2,8,Super 8 stage,939.7146,825.9365,7,1.0159
2,Ireland,A,4,Group stage,523.5938,474.9822,4,0.7596
3,Canada,A,0,Group stage,378.1529,668.4118,4,-4.5353
4,United States of America,A,2,Group stage,457.3249,569.117,4,-1.7468
5,England,S8_G2,12,Champion,1283.2205,1092.0747,9,1.3274
6,Australia,S8_G1,12,Finalist,1263.1798,1078.0265,9,1.2858
7,Namibia,B,4,Group stage,481.4495,545.0629,4,-0.994
8,Scotland,B,2,Group stage,480.8931,573.4655,4,-1.4464
9,Oman,B,0,Group stage,433.1814,597.304,4,-2.5644
10,New Zealand,S8_G1,8,Super 8 stage,1054.0107,769.7625,7,2.5379
11,West Indies,S8_G2,12,Semifinalist,1232.0308,999.9038,8,1.8135
12,Afghanistan,C,4,Group stage,580.4501,599.8703,4,-0.3034
13,Uganda,C,0,Group stage,444.9449,784.5379,4,-5.3061
14,Papua New Guinea,C,2,Group stage,505.0444,656.1805,4,-2.3615
15,South Africa,S8_G2,8,Super 8 stage,943.9847,869.2046,7,0.6677
16,Sri Lanka,D,4,Group stage,539.6671,479.4734,4,0.9405
17,Bangladesh,S8_G1,6,Super 8 stage,861.9085,846.7647,7,0.1352
18,Netherlands,D,2,Group stage,485.5324,550.4748,4,-1.0147
19,Nepal,D,0,Group stage,446.411,602.2492,4,-2.435
