,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Semifinalist,1125.3103,895.5587,8,1.7949
1,Pakistan,S8_G2,8,Super 8 stage,938.2233,817.9142,7,1.0742
2,Ireland,A,4,Group stage,535.1395,474.9162,4,0.941
3,Canada,A,0,Group stage,388.8301,668.8641,4,-4.3755
4,United States of America,A,2,Group stage,452.3575,577.7822,4,-1.9598
5,England,S8_G2,14,Champion,1280.569,1083.031,9,1.3718
6,Australia,S8_G1,8,Super 8 stage,987.1745,810.2653,7,1.5795
7,Namibia,B,2,Group stage,460.6637,557.0118,4,-1.5054
8,Scotland,B,4,Group stage,464.1154,564.539,4,-1.5691
9,Oman,B,0,Group stage,452.6443,570.1574,4,-1.8361
10,New Zealand,S8_G1,12,Semifinalist,1189.965,916.8749,8,2.1335
11,West Indies,S8_G2,10,Finalist,1353.0683,1119.376,9,1.6229
12,Afghanistan,C,4,Group stage,558.6894,583.4657,4,-0.3871
13,Uganda,C,0,Group stage,430.0942,750.1171,4,-5.0004
14,Papua New Guinea,C,2,Group stage,475.5758,622.3746,4,-2.2937
15,South Africa,S8_G2,8,Super 8 stage,949.4739,879.5289,7,0.6245
16,Sri Lanka,S8_G1,6,Super 8 stage,868.881,873.8722,7,-0.0446
17,Bangladesh,D,4,Group stage,518.469,460.7349,4,0.9021
18,Netherlands,D,2,Group stage,510.1663,533.7009,4,-0.3677
19,Nepal,D,0,Group stage,426.9645,606.2896,4,-2.802
