,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1260.543,1000.8564,9,1.8034
1,Pakistan,S8_G2,6,Super 8 stage,946.8221,823.7919,7,1.0985
2,Ireland,A,4,Group stage,508.9947,485.6231,4,0.3652
3,Canada,A,0,Group stage,391.3387,664.9821,4,-4.2757
4,United States of America,A,2,Group stage,444.4826,552.7849,4,-1.6922
5,England,S8_G2,14,Finalist,1271.1063,1103.9885,9,1.1605
6,Australia,S8_G1,10,Super 8 stage,954.4898,817.4453,7,1.2236
7,Namibia,B,2,Group stage,447.9316,538.2464,4,-1.4112
8,Scotland,B,4,Group stage,477.137,549.496,4,-1.1306
9,Oman,B,0,Group stage,440.6595,547.3561,4,-1.6671
10,New Zealand,S8_G1,10,Semifinalist,1178.1953,899.6276,8,2.1763
11,West Indies,S8_G2,8,Super 8 stage,1100.1203,858.9667,7,2.1532
12,Afghanistan,C,4,Group stage,580.5233,595.52,4,-0.2343
13,Uganda,C,0,Group stage,419.8984,767.453,4,-5.4305
14,Papua New Guinea,C,2,Group stage,505.0894,647.2299,4,-2.2209
15,South Africa,S8_G2,12,Semifinalist,1090.3732,979.8585,8,0.8634
16,Sri Lanka,D,4,Group stage,519.6249,472.0072,4,0.744
17,Bangladesh,S8_G1,6,Super 8 stage,848.8446,846.9326,7,0.0171
18,Netherlands,D,2,Group stage,491.8914,529.0588,4,-0.5807
19,Nepal,D,0,Group stage,409.4343,606.2755,4,-3.0756
