,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1246.9319,1005.2858,9,1.6781
1,Pakistan,S8_G2,10,Super 8 stage,972.7279,806.4736,7,1.4844
2,Ireland,A,4,Group stage,532.2397,484.5393,4,0.7453
3,Canada,A,0,Group stage,387.3656,658.4357,4,-4.2355
4,United States of America,A,2,Group stage,433.7387,567.8109,4,-2.0949
5,England,S8_G2,10,Semifinalist,1146.3438,980.4112,8,1.2963
6,Australia,S8_G1,10,Super 8 stage,988.0248,819.0718,7,1.5085
7,Namibia,B,4,Group stage,476.9518,544.2532,4,-1.0516
8,Scotland,B,2,Group stage,471.1779,559.6799,4,-1.3828
9,Oman,B,0,Group stage,444.6405,602.9057,4,-2.4729
10,New Zealand,S8_G1,10,Semifinalist,1147.0162,915.2172,8,1.8109
11,West Indies,S8_G2,12,Finalist,1364.5384,1121.495,9,1.6878
12,Afghanistan,C,4,Group stage,577.4506,585.4114,4,-0.1244
13,Uganda,C,0,Group stage,433.443,747.4253,4,-4.906
14,Papua New Guinea,C,2,Group stage,499.8373,636.1104,4,-2.1293
15,South Africa,S8_G2,8,Super 8 stage,942.9503,864.3485,7,0.7018
16,Sri Lanka,D,4,Group stage,524.5922,477.4831,4,0.7361
17,Bangladesh,S8_G1,6,Super 8 stage,846.1647,833.484,7,0.1132
18,Netherlands,D,2,Group stage,494.5178,544.1525,4,-0.7755
19,Nepal,D,0,Group stage,425.0343,601.6932,4,-2.7603
