,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1251.7071,1023.3082,9,1.5861
1,Pakistan,S8_G2,8,Super 8 stage,943.0495,807.063,7,1.2142
2,Ireland,A,4,Group stage,519.6497,474.0978,4,0.7117
3,Canada,A,0,Group stage,378.5466,650.107,4,-4.2431
4,United States of America,A,2,Group stage,448.0427,550.2863,4,-1.5976
5,England,S8_G2,14,Finalist,1275.6322,1069.7648,9,1.4296
6,Australia,S8_G1,10,Super 8 stage,979.1064,809.0135,7,1.5187
7,Namibia,B,2,Group stage,436.686,526.4437,4,-1.4025
8,Scotland,B,2,Group stage,459.8584,547.0362,4,-1.3622
9,Oman,B,2,Group stage,433.0272,576.3882,4,-2.24
10,New Zealand,S8_G1,10,Semifinalist,1198.5098,918.6542,8,2.1864
11,West Indies,S8_G2,10,Semifinalist,1212.1591,980.2675,8,1.8117
12,Afghanistan,C,4,Group stage,567.7534,601.1323,4,-0.5215
13,Uganda,C,2,Group stage,448.9797,728.3282,4,-4.3648
14,Papua New Guinea,C,0,Group stage,482.7259,681.465,4,-3.1053
15,South Africa,S8_G2,8,Super 8 stage,954.1735,876.9729,7,0.6893
16,Sri Lanka,S8_G1,6,Super 8 stage,880.4501,872.2393,7,0.0733
17,Bangladesh,D,4,Group stage,514.3245,462.1132,4,0.8158
18,Netherlands,D,2,Group stage,497.7993,548.831,4,-0.7974
19,Nepal,D,0,Group stage,438.6823,617.3512,4,-2.7917
