,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,10,Super 8 stage,992.4985,765.6314,7,2.0256
1,Pakistan,S8_G2,10,Semifinalist,1078.2852,931.5809,8,1.1461
2,Ireland,A,4,Group stage,518.889,481.7818,4,0.5798
3,Canada,A,0,Group stage,394.5162,667.4981,4,-4.2653
4,United States of America,A,2,Group stage,435.6297,567.0378,4,-2.0533
5,England,S8_G2,12,Semifinalist,1145.0739,972.3031,8,1.3498
6,Australia,S8_G1,12,Finalist,1238.8853,1069.0589,9,1.1794
7,Namibia,B,2,Group stage,449.1472,544.5591,4,-1.4908
8,Scotland,B,4,Group stage,480.2486,556.2892,4,-1.1881
9,Oman,B,0,Group stage,435.8634,579.7794,4,-2.2487
10,New Zealand,S8_G1,14,Champion,1274.9312,1020.9483,9,1.7638
11,West Indies,S8_G2,8,Super 8 stage,1095.0886,853.3469,7,2.1584
12,Afghanistan,C,4,Group stage,579.1752,593.558,4,-0.2247
13,Uganda,C,0,Group stage,433.6939,732.9523,4,-4.6759
14,Papua New Guinea,C,2,Group stage,515.4981,658.5648,4,-2.2354
15,South Africa,S8_G2,8,Super 8 stage,949.7487,857.7337,7,0.8216
16,Sri Lanka,S8_G1,6,Super 8 stage,854.3744,861.98,7,-0.0679
17,Bangladesh,D,4,Group stage,515.4893,454.2219,4,0.9573
18,Netherlands,D,2,Group stage,503.846,526.2933,4,-0.3507
19,Nepal,D,0,Group stage,428.2589,624.0222,4,-3.0588
