,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1256.4536,1006.925,9,1.7328
1,Pakistan,S8_G2,8,Super 8 stage,956.9758,812.1267,7,1.2933
2,Ireland,A,4,Group stage,516.6863,484.4985,4,0.5029
3,Canada,A,0,Group stage,381.7894,662.3965,4,-4.3845
4,United States of America,A,2,Group stage,445.5139,567.7979,4,-1.9107
5,England,S8_G2,12,Champion,1255.6747,1087.3214,9,1.1691
6,Australia,S8_G1,10,Super 8 stage,974.1905,792.9913,7,1.6179
7,Namibia,B,4,Group stage,458.9238,526.4718,4,-1.0554
8,Scotland,B,2,Group stage,477.1553,548.9349,4,-1.1216
9,Oman,B,0,Group stage,438.6431,593.7039,4,-2.4228
10,New Zealand,S8_G1,12,Semifinalist,1186.7058,910.3637,8,2.1589
11,West Indies,S8_G2,10,Semifinalist,1232.6682,994.3865,8,1.8616
12,Afghanistan,C,4,Group stage,542.9251,601.8011,4,-0.9199
13,Uganda,C,0,Group stage,447.3942,756.7341,4,-4.8334
14,Papua New Guinea,C,2,Group stage,506.3719,653.9849,4,-2.3065
15,South Africa,S8_G2,8,Super 8 stage,951.1898,880.3442,7,0.6325
16,Sri Lanka,D,4,Group stage,519.8661,481.2586,4,0.6032
17,Bangladesh,S8_G1,6,Super 8 stage,852.2154,838.9547,7,0.1184
18,Netherlands,D,2,Group stage,506.2161,530.1015,4,-0.3732
19,Nepal,D,0,Group stage,428.2,604.6616,4,-2.7572
