,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Finalist,1257.3426,997.5464,9,1.8041
1,Pakistan,S8_G2,6,Super 8 stage,943.6375,825.5123,7,1.0547
2,Ireland,A,4,Group stage,531.4579,487.6065,4,0.6852
3,Canada,A,0,Group stage,372.5985,694.6056,4,-5.0314
4,United States of America,A,2,Group stage,459.1203,555.9524,4,-1.513
5,England,S8_G2,12,Semifinalist,1133.154,951.9941,8,1.4153
6,Australia,S8_G1,10,Super 8 stage,990.1801,806.5863,7,1.6392
7,Namibia,B,2,Group stage,452.6684,551.3705,4,-1.5422
8,Scotland,B,4,Group stage,483.3194,547.8515,4,-1.0083
9,Oman,B,0,Group stage,427.174,592.0207,4,-2.5757
10,New Zealand,S8_G1,14,Champion,1325.8402,1028.6306,9,2.064
11,West Indies,S8_G2,10,Semifinalist,1224.0312,1000.9026,8,1.7432
12,Afghanistan,C,4,Group stage,556.2016,620.0067,4,-0.997
13,Uganda,C,0,Group stage,454.2048,761.8125,4,-4.8064
14,Papua New Guinea,C,2,Group stage,516.7593,633.0271,4,-1.8167
15,South Africa,S8_G2,10,Super 8 stage,956.154,858.6668,7,0.8704
16,Sri Lanka,D,4,Group stage,521.5603,485.7849,4,0.559
17,Bangladesh,S8_G1,6,Super 8 stage,867.0141,842.5306,7,0.2186
18,Netherlands,D,2,Group stage,490.6187,535.8077,4,-0.7061
19,Nepal,D,0,Group stage,424.7309,609.552,4,-2.8878
