,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1260.6029,1000.3357,9,1.8074
1,Pakistan,S8_G2,8,Super 8 stage,956.0158,815.0838,7,1.2583
2,Ireland,A,4,Group stage,504.4488,488.1579,4,0.2545
3,Canada,A,0,Group stage,399.7926,661.842,4,-4.0945
4,United States of America,A,2,Group stage,433.2635,551.4847,4,-1.8472
5,England,S8_G2,14,Finalist,1275.1256,1098.2326,9,1.2284
6,Australia,S8_G1,10,Super 8 stage,989.484,811.1821,7,1.592
7,Namibia,B,4,Group stage,450.3796,532.3351,4,-1.2806
8,Scotland,B,2,Group stage,468.7225,567.0102,4,-1.5357
9,Oman,B,0,Group stage,434.5894,576.1953,4,-2.2126
10,New Zealand,S8_G1,10,Semifinalist,1167.0136,916.2028,8,1.9595
11,West Indies,S8_G2,10,Semifinalist,1215.8661,1001.1418,8,1.6775
12,Afghanistan,C,4,Group stage,551.8345,580.4621,4,-0.4473
13,Uganda,C,0,Group stage,429.7586,733.8268,4,-4.7511
14,Papua New Guinea,C,2,Group stage,500.5774,629.3312,4,-2.0118
15,South Africa,S8_G2,8,Super 8 stage,944.1695,856.0676,7,0.7866
16,Sri Lanka,D,4,Group stage,535.0157,481.7813,4,0.8318
17,Bangladesh,S8_G1,6,Super 8 stage,833.9324,831.3133,7,0.0234
18,Netherlands,D,2,Group stage,493.3529,522.2268,4,-0.4512
19,Nepal,D,0,Group stage,409.0544,598.7868,4,-2.9646
