,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1254.6878,1007.3393,9,1.7177
1,Pakistan,S8_G2,8,Super 8 stage,979.2912,792.7195,7,1.6658
2,Ireland,A,4,Group stage,513.5132,476.0806,4,0.5849
3,Canada,A,0,Group stage,399.9464,692.5859,4,-4.5725
4,United States of America,A,2,Group stage,441.7313,581.677,4,-2.1867
5,England,S8_G2,12,Champion,1264.1158,1082.6947,9,1.2599
6,Australia,S8_G1,10,Super 8 stage,978.1279,806.8242,7,1.5295
7,Namibia,B,4,Group stage,443.7012,524.838,4,-1.2678
8,Scotland,B,2,Group stage,448.2004,551.0025,4,-1.6063
9,Oman,B,0,Group stage,437.6402,579.2033,4,-2.2119
10,New Zealand,S8_G1,12,Semifinalist,1172.1424,917.5945,8,1.9887
11,West Indies,S8_G2,10,Semifinalist,1188.9979,986.6256,8,1.581
12,Afghanistan,C,4,Group stage,572.4347,576.41,4,-0.0621
13,Uganda,C,0,Group stage,423.7213,740.3854,4,-4.9479
14,Papua New Guinea,C,2,Group stage,505.173,623.4554,4,-1.8482
15,South Africa,S8_G2,8,Super 8 stage,952.6174,862.988,7,0.8003
16,Sri Lanka,D,4,Group stage,535.1718,480.0809,4,0.8608
17,Bangladesh,S8_G1,6,Super 8 stage,865.5581,856.7282,7,0.0788
18,Netherlands,D,2,Group stage,498.0333,535.391,4,-0.5837
19,Nepal,D,0,Group stage,426.6558,626.8372,4,-3.1278
