,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Finalist,1239.3738,1011.479,9,1.5826
1,Pakistan,S8_G2,8,Super 8 stage,975.3743,804.3619,7,1.5269
2,Ireland,A,4,Group stage,520.9746,480.8846,4,0.6264
3,Canada,A,0,Group stage,403.0968,658.0143,4,-3.9831
4,United States of America,A,2,Group stage,421.8251,573.2485,4,-2.366
5,England,S8_G2,14,Semifinalist,1145.3266,972.3151,8,1.3517
6,Australia,S8_G1,10,Super 8 stage,983.1857,826.672,7,1.3974
7,Namibia,B,2,Group stage,483.6982,559.4372,4,-1.1834
8,Scotland,B,4,Group stage,485.2564,543.6386,4,-0.9122
9,Oman,B,0,Group stage,418.1521,586.5294,4,-2.6309
10,New Zealand,S8_G1,10,Champion,1290.4216,1026.3436,9,1.8339
11,West Indies,S8_G2,10,Semifinalist,1222.9848,1009.8027,8,1.6655
12,Afghanistan,C,4,Group stage,594.0298,604.873,4,-0.1694
13,Uganda,C,0,Group stage,437.8499,744.6073,4,-4.7931
14,Papua New Guinea,C,2,Group stage,504.0063,641.1169,4,-2.1424
15,South Africa,S8_G2,8,Super 8 stage,957.4613,851.3401,7,0.9475
16,Sri Lanka,S8_G1,6,Super 8 stage,881.7588,874.1766,7,0.0677
17,Bangladesh,D,4,Group stage,530.0952,460.5176,4,1.0872
18,Netherlands,D,2,Group stage,484.8816,554.7027,4,-1.091
19,Nepal,D,0,Group stage,425.1908,620.8827,4,-3.0577
