,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1265.289,1003.511,9,1.8179
1,Pakistan,S8_G2,6,Super 8 stage,961.5744,805.8152,7,1.3907
2,Ireland,A,4,Group stage,541.2637,479.1551,4,0.9704
3,Canada,A,0,Group stage,378.3686,696.4857,4,-4.9706
4,United States of America,A,2,Group stage,438.0065,579.5407,4,-2.2115
5,England,S8_G2,12,Semifinalist,1135.7473,981.6755,8,1.2037
6,Australia,S8_G1,12,Finalist,1270.8037,1071.393,9,1.3848
7,Namibia,B,4,Group stage,459.8739,530.3002,4,-1.1004
8,Scotland,B,2,Group stage,473.1603,561.874,4,-1.3862
9,Oman,B,0,Group stage,434.8943,584.8664,4,-2.3433
10,New Zealand,S8_G1,10,Super 8 stage,1055.5503,773.9318,7,2.5145
11,West Indies,S8_G2,10,Semifinalist,1225.5353,994.5213,8,1.8048
12,Afghanistan,C,4,Group stage,568.0592,575.6149,4,-0.1181
13,Uganda,C,0,Group stage,442.8954,759.8252,4,-4.952
14,Papua New Guinea,C,2,Group stage,464.4801,647.8058,4,-2.8645
15,South Africa,S8_G2,10,Super 8 stage,962.1812,866.4777,7,0.8545
16,Sri Lanka,D,4,Group stage,532.5979,475.5186,4,0.8919
17,Bangladesh,S8_G1,6,Super 8 stage,850.2815,836.1207,7,0.1264
18,Netherlands,D,2,Group stage,505.1184,540.2378,4,-0.5487
19,Nepal,D,0,Group stage,411.198,612.2085,4,-3.1408
