,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1237.8025,988.0378,9,1.7345
1,Pakistan,S8_G2,8,Super 8 stage,969.9243,819.38,7,1.3441
2,Ireland,A,4,Group stage,524.8112,472.3699,4,0.8194
3,Canada,A,0,Group stage,395.0399,672.6899,4,-4.3383
4,United States of America,A,2,Group stage,430.2763,582.8775,4,-2.3844
5,England,S8_G2,12,Semifinalist,1133.513,968.7316,8,1.2874
6,Australia,S8_G1,12,Super 8 stage,995.1474,798.0204,7,1.7601
7,Namibia,B,2,Group stage,451.8311,550.4061,4,-1.5402
8,Scotland,B,4,Group stage,472.9384,542.1355,4,-1.0812
9,Oman,B,0,Group stage,426.8275,579.67,4,-2.3882
10,New Zealand,S8_G1,12,Finalist,1286.6606,1029.8375,9,1.7835
11,West Indies,S8_G2,10,Semifinalist,1211.4789,979.955,8,1.8088
12,Afghanistan,C,4,Group stage,578.5027,609.7579,4,-0.4884
13,Uganda,C,0,Group stage,438.2216,734.5643,4,-4.6304
14,Papua New Guinea,C,2,Group stage,499.8526,642.5768,4,-2.2301
15,South Africa,S8_G2,8,Super 8 stage,967.0617,871.4375,7,0.8538
16,Sri Lanka,D,4,Group stage,537.5035,481.3758,4,0.877
17,Bangladesh,S8_G1,6,Super 8 stage,852.4323,842.6919,7,0.087
18,Netherlands,D,2,Group stage,500.7789,545.9999,4,-0.7066
19,Nepal,D,0,Group stage,436.169,634.2581,4,-3.0951
