,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1274.0378,999.8373,9,1.9042
1,Pakistan,S8_G2,8,Super 8 stage,948.9831,810.0316,7,1.2406
2,Ireland,A,4,Group stage,506.4134,481.7647,4,0.3851
3,Canada,A,0,Group stage,393.2292,664.5687,4,-4.2397
4,United States of America,A,2,Group stage,451.1587,579.2589,4,-2.0016
5,England,S8_G2,14,Finalist,1262.4791,1104.1719,9,1.0994
6,Australia,S8_G1,10,Super 8 stage,978.9829,814.452,7,1.469
7,Namibia,B,2,Group stage,466.3797,559.2062,4,-1.4504
8,Scotland,B,4,Group stage,485.0788,541.1119,4,-0.8755
9,Oman,B,0,Group stage,458.2086,597.7083,4,-2.1797
10,New Zealand,S8_G1,10,Semifinalist,1187.0717,918.0973,8,2.1014
11,West Indies,S8_G2,10,Semifinalist,1231.6076,978.8493,8,1.9747
12,Afghanistan,C,4,Group stage,582.1878,591.8748,4,-0.1514
13,Uganda,C,0,Group stage,402.6175,782.6383,4,-5.9378
14,Papua New Guinea,C,2,Group stage,514.6038,644.9877,4,-2.0372
15,South Africa,S8_G2,8,Super 8 stage,949.9174,866.7645,7,0.7424
16,Sri Lanka,D,4,Group stage,533.2239,471.5316,4,0.9639
17,Bangladesh,S8_G1,6,Super 8 stage,862.8566,839.1288,7,0.2119
18,Netherlands,D,2,Group stage,496.6161,541.5732,4,-0.7025
19,Nepal,D,0,Group stage,422.8735,620.9704,4,-3.0953
