,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1256.6218,1005.2446,9,1.7457
1,Pakistan,S8_G2,8,Super 8 stage,967.7851,808.5434,7,1.4218
2,Ireland,A,4,Group stage,534.3784,512.4575,4,0.3425
3,Canada,A,0,Group stage,410.2701,679.0568,4,-4.1998
4,United States of America,A,2,Group stage,442.9298,576.7089,4,-2.0903
5,England,S8_G2,12,Finalist,1266.9284,1085.2001,9,1.262
6,Australia,S8_G1,10,Super 8 stage,1006.2504,809.0908,7,1.7604
7,Namibia,B,4,Group stage,474.3133,540.5751,4,-1.0353
8,Scotland,B,2,Group stage,462.2141,558.2407,4,-1.5004
9,Oman,B,0,Group stage,441.5184,611.7521,4,-2.6599
10,New Zealand,S8_G1,12,Semifinalist,1190.3408,914.2189,8,2.1572
11,West Indies,S8_G2,10,Semifinalist,1220.5437,977.8163,8,1.8963
12,Afghanistan,C,4,Group stage,592.913,575.5622,4,0.2711
13,Uganda,C,0,Group stage,401.9535,766.5774,4,-5.6972
14,Papua New Guinea,C,2,Group stage,476.2952,640.5772,4,-2.5669
15,South Africa,S8_G2,8,Super 8 stage,955.7089,879.3883,7,0.6814
16,Sri Lanka,D,4,Group stage,525.7714,477.5273,4,0.7538
17,Bangladesh,S8_G1,6,Super 8 stage,851.5408,854.6572,7,-0.0278
18,Netherlands,D,2,Group stage,507.5564,543.3531,4,-0.5593
19,Nepal,D,0,Group stage,439.4079,608.6938,4,-2.6451
