,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1285.4441,1015.4107,9,1.8752
1,Pakistan,S8_G2,8,Super 8 stage,963.1931,802.0682,7,1.4386
2,Ireland,A,4,Group stage,517.579,488.905,4,0.448
3,Canada,A,0,Group stage,380.1809,688.1544,4,-4.8121
4,United States of America,A,2,Group stage,443.8299,562.7069,4,-1.8575
5,England,S8_G2,12,Semifinalist,1129.9575,961.3788,8,1.317
6,Australia,S8_G1,10,Super 8 stage,982.8818,816.0041,7,1.49
7,Namibia,B,2,Group stage,456.3728,548.3417,4,-1.437
8,Scotland,B,2,Group stage,459.6154,536.8426,4,-1.2067
9,Oman,B,2,Group stage,439.6064,584.9319,4,-2.2707
10,New Zealand,S8_G1,10,Semifinalist,1178.9585,902.8363,8,2.1572
11,West Indies,S8_G2,12,Finalist,1360.8293,1091.7207,9,1.8688
12,Afghanistan,C,4,Group stage,567.097,597.3596,4,-0.4729
13,Uganda,C,0,Group stage,434.8835,780.1444,4,-5.3947
14,Papua New Guinea,C,2,Group stage,503.4743,640.4869,4,-2.1408
15,South Africa,S8_G2,8,Super 8 stage,973.9215,869.3793,7,0.9334
16,Sri Lanka,D,4,Group stage,544.3493,483.8686,4,0.945
17,Bangladesh,S8_G1,6,Super 8 stage,840.7655,852.5007,7,-0.1048
18,Netherlands,D,2,Group stage,480.314,547.4448,4,-1.0489
19,Nepal,D,0,Group stage,431.4616,604.2298,4,-2.6995
