,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Champion,1253.3673,991.9785,9,1.8152
1,Pakistan,S8_G2,8,Super 8 stage,936.8313,814.3582,7,1.0935
2,Ireland,A,4,Group stage,515.2581,477.9975,4,0.5822
3,Canada,A,0,Group stage,396.0312,669.2923,4,-4.2697
4,United States of America,A,2,Group stage,434.6228,565.4598,4,-2.0443
5,England,S8_G2,10,Semifinalist,1124.7314,980.0508,8,1.1303
6,Australia,S8_G1,14,Finalist,1237.1824,1050.6486,9,1.2954
7,Namibia,B,2,Group stage,460.658,540.2106,4,-1.243
8,Scotland,B,4,Group stage,482.3769,548.5083,4,-1.0333
9,Oman,B,0,Group stage,425.9374,582.2474,4,-2.4423
10,New Zealand,S8_G1,10,Super 8 stage,1046.8693,776.9229,7,2.4102
11,West Indies,S8_G2,12,Semifinalist,1214.8393,983.8518,8,1.8046
12,Afghanistan,C,4,Group stage,569.0429,630.2068,4,-0.9557
13,Uganda,C,0,Group stage,458.2631,736.0389,4,-4.3402
14,Papua New Guinea,C,2,Group stage,493.2437,639.1079,4,-2.2791
15,South Africa,S8_G2,8,Super 8 stage,955.6953,858.9388,7,0.8639
16,Sri Lanka,D,4,Group stage,528.7413,487.7343,4,0.6407
17,Bangladesh,S8_G1,6,Super 8 stage,859.6396,830.7683,7,0.2578
18,Netherlands,D,2,Group stage,503.4296,540.9746,4,-0.5866
19,Nepal,D,0,Group stage,435.3123,626.7774,4,-2.9916
