,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Champion,1268.6825,1005.097,9,1.8305
1,Pakistan,S8_G2,8,Super 8 stage,959.803,806.2997,7,1.3706
2,Ireland,A,4,Group stage,513.9533,510.1735,4,0.0591
3,Canada,A,0,Group stage,387.7879,641.4971,4,-3.9642
4,United States of America,A,2,Group stage,438.8881,573.5078,4,-2.1034
5,England,S8_G2,12,Semifinalist,1134.2039,968.9234,8,1.2913
6,Australia,S8_G1,12,Finalist,1243.7675,1080.0276,9,1.1371
7,Namibia,B,2,Group stage,463.8008,550.8018,4,-1.3594
8,Scotland,B,4,Group stage,482.266,543.1262,4,-0.9509
9,Oman,B,0,Group stage,446.9727,600.3296,4,-2.3962
10,New Zealand,S8_G1,10,Super 8 stage,1058.9351,780.3444,7,2.4874
11,West Indies,S8_G2,10,Semifinalist,1212.3527,986.2088,8,1.7667
12,Afghanistan,C,4,Group stage,573.8724,591.1797,4,-0.2704
13,Uganda,C,0,Group stage,446.8299,745.3382,4,-4.6642
14,Papua New Guinea,C,2,Group stage,490.6071,654.2272,4,-2.5566
15,South Africa,S8_G2,8,Super 8 stage,951.0289,859.1704,7,0.8202
16,Sri Lanka,S8_G1,6,Super 8 stage,861.6775,887.1755,7,-0.2277
17,Bangladesh,D,4,Group stage,504.5441,446.0764,4,0.9136
18,Netherlands,D,2,Group stage,484.5291,517.7117,4,-0.5185
19,Nepal,D,0,Group stage,435.6511,612.9375,4,-2.7701
