,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,12,Semifinalist,1127.7429,889.0825,8,1.8645
1,Pakistan,S8_G2,6,Super 8 stage,946.1313,815.5173,7,1.1662
2,Ireland,A,4,Group stage,537.1754,485.8562,4,0.8019
3,Canada,A,0,Group stage,393.74,676.065,4,-4.4113
4,United States of America,A,2,Group stage,442.2256,578.5545,4,-2.1301
5,England,S8_G2,12,Finalist,1274.5281,1100.5164,9,1.2084
6,Australia,S8_G1,14,Champion,1259.3498,1079.9588,9,1.2458
7,Namibia,B,2,Group stage,460.8865,565.5346,4,-1.6351
8,Scotland,B,2,Group stage,471.5844,557.4558,4,-1.3417
9,Oman,B,2,Group stage,463.3313,578.7706,4,-1.8037
10,New Zealand,S8_G1,10,Super 8 stage,1033.4085,792.461,7,2.1513
11,West Indies,S8_G2,10,Semifinalist,1200.5393,1001.4622,8,1.5553
12,Afghanistan,C,4,Group stage,559.3028,567.0415,4,-0.1209
13,Uganda,C,0,Group stage,427.4169,716.135,4,-4.5112
14,Papua New Guinea,C,2,Group stage,481.8162,625.1927,4,-2.2403
15,South Africa,S8_G2,10,Super 8 stage,972.6902,862.1426,7,0.987
16,Sri Lanka,D,4,Group stage,531.077,476.9178,4,0.8462
17,Bangladesh,S8_G1,6,Super 8 stage,879.7646,837.988,7,0.373
18,Netherlands,D,2,Group stage,486.8413,545.8765,4,-0.9224
19,Nepal,D,0,Group stage,427.0404,624.0632,4,-3.0785
