,Country,Group,Points,Result,total_runs_scored,total_runs_conceded,num_matches_played,NRR
0,India,S8_G1,14,Semifinalist,1130.1635,887.561,8,1.8953
1,Pakistan,S8_G2,8,Super 8 stage,962.7601,826.6013,7,1.2157
2,Ireland,A,4,Group stage,508.8479,475.8204,4,0.5161
3,Canada,A,0,Group stage,401.8668,650.2932,4,-3.8817
4,United States of America,A,2,Group stage,434.8666,578.9661,4,-2.2516
5,England,S8_G2,12,Champion,1260.9266,1088.3716,9,1.1983
6,Australia,S8_G1,12,Finalist,1256.5064,1075.3713,9,1.2579
7,Namibia,B,2,Group stage,451.055,540.1231,4,-1.3917
8,Scotland,B,4,Group stage,482.5147,554.3009,4,-1.1217
9,Oman,B,0,Group stage,442.6157,573.9244,4,-2.0517
10,New Zealand,S8_G1,8,Super 8 stage,1028.7358,788.0363,7,2.1491
11,West Indies,S8_G2,12,Semifinalist,1223.7811,987.7638,8,1.8439
12,Afghanistan,C,2,Group stage,585.9288,607.695,4,-0.3401
13,Uganda,C,0,Group stage,429.2561,768.2024,4,-5.296
14,Papua New Guinea,C,4,Group stage,525.5077,621.0698,4,-1.4932
15,South Africa,S8_G2,8,Super 8 stage,961.9123,881.8333,7,0.715
16,Sri Lanka,S8_G1,6,Super 8 stage,886.5042,889.8756,7,-0.0301
17,Bangladesh,D,4,Group stage,518.0023,458.8345,4,0.9245
18,Netherlands,D,2,Group stage,499.042,545.1208,4,-0.72
19,Nepal,D,0,Group stage,432.5913,623.6199,4,-2.9848
